"","assembly_input_id","assembly_id","assembly_batch","preprocessing_id","sequence_id","assembly_type","assembly_input_bases","assembly_length","assembly_n50","assembly_l50","assembly_num_contigs","assembly_largest_contig","assembly_num_bins","assembly_mapping_percent"
"1","EHA00169","EHA00169","ABB0134","PR01198","EHI00201","Coassembly",4057373645,288841895,12842,3848,52209,734315,53,89
"2","EHA00170","EHA00169","ABB0134","PR01201","EHI00298","Coassembly",6222686411,288841895,12842,3848,52209,734315,53,65
"3","EHA00171","EHA00169","ABB0134","PR01271","EHI00608","Coassembly",2656843309,288841895,12842,3848,52209,734315,53,80
"4","EHA00172","EHA00169","ABB0134","PR01282","EHI00624","Coassembly",2089484463,288841895,12842,3848,52209,734315,53,33
"5","EHA00173","EHA00169","ABB0134","PR01283","EHI00625","Coassembly",5726596862,288841895,12842,3848,52209,734315,53,90
"6","EHA00174","EHA00169","ABB0134","PR01301","EHI00651","Coassembly",1993833424,288841895,12842,3848,52209,734315,53,53
"7","EHA00175","EHA00169","ABB0134","PR01657","EHI00878","Coassembly",738211865,288841895,12842,3848,52209,734315,53,64
"8","EHA00176","EHA00176","ABB0135","PR01204","EHI00345","Coassembly",5691202164,70343151,27594,447,7344,719645,15,94
"9","EHA00177","EHA00176","ABB0135","PR01305","EHI00655","Coassembly",4289894272,70343151,27594,447,7344,719645,15,83
"10","EHA00178","EHA00178","ABB0136","PR01199","EHI00283","Individual",10571474193,0,0,0,0,0,0,0
"11","EHA00179","EHA00179","ABB0137","PR01265","EHI00599","Coassembly",5022505982,494441136,4007,35174,137145,1322902,11,74
"12","EHA00180","EHA00179","ABB0137","PR01270","EHI00607","Coassembly",4216626686,494441136,4007,35174,137145,1322902,11,43
"13","EHA00181","EHA00179","ABB0137","PR01297","EHI00643","Coassembly",1627541452,494441136,4007,35174,137145,1322902,11,77
"14","EHA00182","EHA00179","ABB0137","PR01299","EHI00646","Coassembly",5486689466,494441136,4007,35174,137145,1322902,11,85
"15","EHA00183","EHA00183","ABB0138","PR01281","EHI00622","Coassembly",2751940836,35038211,24525,155,5024,1332266,9,25
"16","EHA00184","EHA00183","ABB0138","PR01302","EHI00652","Coassembly",2426662560,35038211,24525,155,5024,1332266,9,69
"17","EHA00185","EHA00185","ABB0139","PR01262","EHI00596","Coassembly",2099147907,6908778,2437,891,2758,17258,1,12
"18","EHA00186","EHA00185","ABB0139","PR01289","EHI00633","Coassembly",3077905518,6908778,2437,891,2758,17258,1,4
"19","EHA00187","EHA00187","ABB0140","PR01190","EHI00183","Coassembly",3695907585,612319526,3204,48767,197304,567033,26,65
"20","EHA00188","EHA00187","ABB0140","PR01192","EHI00185","Coassembly",1357896491,612319526,3204,48767,197304,567033,26,27
"21","EHA00189","EHA00187","ABB0140","PR01193","EHI00186","Coassembly",1186014337,612319526,3204,48767,197304,567033,26,60
"22","EHA00190","EHA00187","ABB0140","PR01194","EHI00187","Coassembly",1438888956,612319526,3204,48767,197304,567033,26,66
"23","EHA00191","EHA00187","ABB0140","PR01195","EHI00188","Coassembly",78077637296,612319526,3204,48767,197304,567033,26,73
"24","EHA00192","EHA00187","ABB0140","PR01196","EHI00189","Coassembly",847895865,612319526,3204,48767,197304,567033,26,19
"25","EHA00193","EHA00187","ABB0140","PR01236","EHI00523","Coassembly",2681014152,612319526,3204,48767,197304,567033,26,73
"26","EHA00194","EHA00187","ABB0140","PR01296","EHI00642","Coassembly",2736773996,612319526,3204,48767,197304,567033,26,72
"27","EHA00195","EHA00187","ABB0140","PR01444","EHI00804","Coassembly",3988882898,612319526,3204,48767,197304,567033,26,56
"28","EHA00196","EHA00196","ABB0141","PR01205","EHI00348","Coassembly",1081991207,58519760,5300,1696,13591,485562,12,55
"29","EHA00197","EHA00196","ABB0141","PR01655","EHI00868","Coassembly",1941981490,58519760,5300,1696,13591,485562,12,20
"30","EHA00198","EHA00198","ABB0142","PR01197","EHI00192","Coassembly",694329670,19286468,16222,192,2732,312373,5,98
"31","EHA00199","EHA00198","ABB0142","PR01210","EHI00366","Coassembly",1880717170,19286468,16222,192,2732,312373,5,63
"32","EHA00200","EHA00198","ABB0142","PR01212","EHI00397","Coassembly",3610335295,19286468,16222,192,2732,312373,5,0
"33","EHA00201","EHA00201","ABB0143","PR01217","EHI00431","Coassembly",3026225170,310703736,2856,26506,105115,789509,16,63
"34","EHA00202","EHA00201","ABB0143","PR01228","EHI00474","Coassembly",3173993174,310703736,2856,26506,105115,789509,16,42
"35","EHA00203","EHA00201","ABB0143","PR01230","EHI00485","Coassembly",6683205784,310703736,2856,26506,105115,789509,16,13
"36","EHA00204","EHA00201","ABB0143","PR01234","EHI00511","Coassembly",4341738423,310703736,2856,26506,105115,789509,16,97
"37","EHA00205","EHA00201","ABB0143","PR01276","EHI00615","Coassembly",5005228933,310703736,2856,26506,105115,789509,16,97
"38","EHA00206","EHA00206","ABB0144","PR01232","EHI00502","Coassembly",3817422342,153389383,5040,3980,38816,878429,21,56
"39","EHA00207","EHA00206","ABB0144","PR01242","EHI00571","Coassembly",1166625770,153389383,5040,3980,38816,878429,21,96
"40","EHA00208","EHA00206","ABB0144","PR01290","EHI00634","Coassembly",4831249105,153389383,5040,3980,38816,878429,21,70
"41","EHA00209","EHA00206","ABB0144","PR01293","EHI00637","Coassembly",4317249413,153389383,5040,3980,38816,878429,21,35
"42","EHA00210","EHA00206","ABB0144","PR01308","EHI00660","Coassembly",2310176112,153389383,5040,3980,38816,878429,21,37
"43","EHA00211","EHA00211","ABB0145","PR01200","EHI00291","Coassembly",1144548563,104197215,10367,1329,21328,674002,13,64
"44","EHA00212","EHA00211","ABB0145","PR01249","EHI00580","Coassembly",4575147939,104197215,10367,1329,21328,674002,13,71
"45","EHA00213","EHA00211","ABB0145","PR01250","EHI00581","Coassembly",3435932522,104197215,10367,1329,21328,674002,13,82
"46","EHA00214","EHA00211","ABB0145","PR01263","EHI00597","Coassembly",1835681001,104197215,10367,1329,21328,674002,13,48
"47","EHA00215","EHA00211","ABB0145","PR01300","EHI00648","Coassembly",5972226431,104197215,10367,1329,21328,674002,13,19
"48","EHA00216","EHA00216","ABB0146","PR01237","EHI00531","Coassembly",5202374307,481086028,3545,28621,138853,405021,35,64
"49","EHA00217","EHA00216","ABB0146","PR01304","EHI00654","Coassembly",3364372163,481086028,3545,28621,138853,405021,35,51
"50","EHA00218","EHA00216","ABB0146","PR01238","EHI00540","Coassembly",3478991543,481086028,3545,28621,138853,405021,35,62
"51","EHA00219","EHA00216","ABB0146","PR01241","EHI00570","Coassembly",3883032364,481086028,3545,28621,138853,405021,35,43
"52","EHA00220","EHA00216","ABB0146","PR01294","EHI00639","Coassembly",2929522470,481086028,3545,28621,138853,405021,35,52
"53","EHA00221","EHA00216","ABB0146","PR01303","EHI00653","Coassembly",6398881539,481086028,3545,28621,138853,405021,35,93
"54","EHA00222","EHA00216","ABB0146","PR01246","EHI00577","Coassembly",3578912899,481086028,3545,28621,138853,405021,35,80
"55","EHA00223","EHA00216","ABB0146","PR01306","EHI00656","Coassembly",3507211714,481086028,3545,28621,138853,405021,35,56
"56","EHA00265","EHA00265","ABB0115","PR00679","EHI00002","Individual",1394358496,43513068,5059,1671,10890,201785,9,34
"57","EHA00266","EHA00266","ABB0115","PR00682","EHI00005","Individual",2486913034,104701160,5978,3332,23197,313423,14,55
"58","EHA00267","EHA00267","ABB0115","PR00683","EHI00069","Individual",6157621999,180920613,9918,3580,32069,666032,22,77
"59","EHA00268","EHA00268","ABB0115","PR00684","EHI00070","Individual",2469728439,97874134,3504,5731,28540,453301,15,55
"60","EHA00269","EHA00269","ABB0115","PR00685","EHI00072","Individual",4993871498,172846758,6403,4723,37566,344415,27,70
