"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage","sequence_batch","index_library_molarity","pooling_index","pooling_dilution","pooling_volume","pooling_moles","pooling_adator_library_ratio","sequence_data","sequence_q20","sequence_q30","sequence_gc","library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required","extraction_batch","extraction_concentration","extraction_volume","extraction_total","sample_type","sample_freshness","sample_freezing","specimen_id","specimen_species","specimen_order","specimen_family","specimen_class","specimen_development","specimen_sex","specimen_length","specimen_weight","capture_id","capture_event_id","capture_place","capture_country","capture_biome","capture_environment","capture_latitude","capture_longitude","host_dup_percent","host_percent","tax_group"
"1","PR00678","PRB0001","EHI00001","ABK09E1L1I1","Podarcis muralis","Same",18702252,18110376,2805337800,2646211769,2252102,72189794,16647206,0,2646211769,0,0,0,"SEB001",18.18,1,2,1.4,12.7,0,3.2,94.96,88.28,43.78,"ABK09E1L1","LIB0011","ABK09","ABK09E1","EHI00001",27,211.1,7.82,20,8,"EXB0006",7.82,45,352,"Tissue","< 1 minute","< 14 days","SD00614","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Female",60,4,"SD0061401","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.737,-0.59,0.172722,1,"Reptiles"
"2","PR00679","PRB0001","EHI00002","ABI46E1L1I1","Podarcis muralis","Same",10466930,10170866,1570039500,1429792367,2620495,100430744,248692,1394358496,35433871,586596584,0.42,0.6855,"SEB001",31.14,2,3,1.3,13.5,0,3.6,94.87,88.06,43.93,"ABI46E1L1","LIB0011","ABI46","ABI46E1","EHI00002",21,399,19,50,10,"EXB0006",19,45,855,"Faecal","< 1 minute","< 14 days","SD00650","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Female",64,5.6,"SD0065001","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.789,-0.597,0.155542,0.0247825291404706,"Reptiles"
"3","PR00680","PRB0001","EHI00003","ABI47E1L1I1","Podarcis muralis","Same",23853572,23112074,3578035800,3340532048,3738709,131565555,21258102,0,3340532048,0,0,0,"SEB001",27.35,3,2,1,13.7,0,4,94.81,87.84,44.17,"ABI47E1L1","LIB0011","ABI47","ABI47E1","EHI00003",27,248.9,9.22,20,8,"EXB0006",9.22,45,415,"Tissue","< 1 minute","< 14 days","SD00650","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Female",64,5.6,"SD0065001","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.789,-0.597,0.171313,1,"Reptiles"
"4","PR00681","PRB0001","EHI00004","ABK09E2L1I1","Podarcis muralis","Same",21409426,20604016,3211413900,2984989629,3187529,109956239,19008098,0,2984989629,0,0,0,"SEB001",10.94,4,1,1.2,13.1,0,5.4,95.57,89.25,44.2,"ABK09E2L1","LIB0011","ABK09","ABK09E2","EHI00004",27,211.1,7.97,20,8,"EXB0006",7.97,45,359,"Tissue","< 1 minute","< 14 days","SD00614","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Female",60,4,"SD0061401","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.737,-0.59,0.184908,1,"Reptiles"
"5","PR00682","PRB0001","EHI00005","ABK57E1L1I1","Podarcis muralis","Same",18085674,17495340,2712851100,2521862915,2996207,108481218,231998,2486913034,34949881,1436491868,0.58,0.7634,"SEB001",10.09,6,1,1.3,13.1,0,6.7,95.14,88.48,42.73,"ABK57E1L1","LIB0011","ABK57","ABK57E1","EHI00005",24,386.4,16.1,50,8,"EXB0007",16.1,45,725,"Faecal","< 3 hours","< 14 days","SD00636","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Female",56,3.3,"SD0063601","MS0016",NA,"Spain","1000221 - Temperate woodland","Rocky outcrops in forest and stone-walls",42.712,-0.607,0.156182,0.0138587552844838,"Reptiles"
"6","PR00683","PRB0001","EHI00069","ABJ89E1L1I1","Podarcis muralis","Same",54815378,50833530,8222306700,7078154570,14997270,698060334,6240810,6157621999,920532571,3221200903,0.52,0.9099,"SEB001",42.8,117,4,1.2,12.8,0,6.5,95.28,88.71,45.34,"ABJ89E1L1","LIB0004","ABJ89","ABJ89E1","EHI00069",24,130.6,5.44,20,10,"EXB0003",5.44,45,245,"Faecal","< 1 minute","< 21 days","SD00610","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",56,4.1,"SD0061001","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and stone-walls",42.627,0.764,0.188927,0.130052623448148,"Reptiles"
"7","PR00684","PRB0001","EHI00070","ABL39E1L1I1","Podarcis muralis","Same",24281468,23656378,3642220200,3407328319,4200389,147983781,6290518,2469728439,937599880,1313578725,0.53,0.792,"SEB001",44.91,118,4,1.2,13.5,0,2.6,95.57,89.12,44.02,"ABL39E1L1","LIB0004","ABL39","ABL39E1","EHI00070",24,138,5.75,20,10,"EXB0003",5.75,45,259,"Faecal","< 1 minute","< 21 days","SD00564","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",60,4.6,"SD0056401","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and boulders",42.637,0.755,0.167329,0.275171569106429,"Reptiles"
"8","PR00685","PRB0001","EHI00072","ABK12E1L1I1","Podarcis muralis","Same",36292666,35265772,5443899900,5072190947,6533805,228938109,527460,4993871498,78319449,3045059797,0.61,0.8605,"SEB001",37.43,120,3,1,12.5,0,4.9,94.71,87.8,44.9,"ABK12E1L1","LIB0004","ABK12","ABK12E1","EHI00072",24,72,3,20,13,"EXB0003",3,45,135,"Faecal","< 1 minute","< 14 days","SD00616","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",54,4.8,"SD0061601","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.737,-0.59,0.148307,0.0154409504331305,"Reptiles"
"9","PR00686","PRB0001","EHI00073","ABL01E1L1I1","Podarcis muralis","Same",17659664,17296132,2648949600,2498473362,2826584,101578161,50116,2491173198,7300164,1434907637,0.58,0.7776,"SEB001",10.43,121,1,1.2,12.5,0,5.2,94.54,87.39,40.18,"ABL01E1L1","LIB0004","ABL01","ABL01E1","EHI00073",24,160.3,6.68,20,7,"EXB0003",6.68,45,301,"Faecal","< 1 minute","< 21 days","SD00545","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",66,5.1,"SD0054501","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and rocks near river",42.598,0.763,0.165536,0.00292184984280013,"Reptiles"
"10","PR00687","PRB0001","EHI00074","ABL51E1L1I1","Podarcis muralis","Same",54319736,52990138,8147960400,7577932855,10738062,396878136,242334,7543261506,34671349,4255058357,0.56,0.8848,"SEB001",67.14,122,5,1,13.4,0,4.3,95.29,88.54,43.04,"ABL51E1L1","LIB0004","ABL51","ABL51E1","EHI00074",24,39.8,1.66,10,13,"EXB0003",1.66,45,75,"Faecal","< 1 minute","< 21 days","SD00570","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",57,4.4,"SD0057001","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and boulders",42.637,0.755,0.173092,0.00457530432948129,"Reptiles"
