"","extraction_id","extraction_batch","extraction_concentration","extraction_volume","extraction_total","sample_id"
"1","AAB74E1","EXB0002",0,45,0,"AAB74"
"2","AAC07E1","EXB0002",0.09,45,4,"AAC07"
"3","AAB96E1","EXB0002",0.85,45,38,"AAB96"
"4","AAB84E1","EXB0002",2.06,45,93,"AAB84"
"5","AAB69E1","EXB0002",0,45,0,"AAB69"
"6","AAB64E1","EXB0002",0.38,45,17,"AAB64"
"7","AAC55E1","EXB0002",0.28,45,13,"AAC55"
"8","AAD09E1","EXB0002",0,45,0,"AAD09"
"9","AAC14E1","EXB0002",0.14,45,6,"AAC14"
"10","AAC09E1","EXB0002",1.35,45,61,"AAC09"
"11","AAC40E1","EXB0002",0.09,45,4,"AAC40"
"12","AAC21E1","EXB0002",0,45,0,"AAC21"
"13","AAC33E1","EXB0002",34.8,45,1566,"AAC33"
"14","AAC26E1","EXB0002",0,45,0,"AAC26"
"15","AAC06E1","EXB0002",0,45,0,"AAC06"
"16","AAB78E1","EXB0002",0.07,45,3,"AAB78"
"17","AAC79E1","EXB0002",0,45,0,"AAC79"
"18","AAC15E1","EXB0002",0.07,45,3,"AAC15"
"19","AAC28E1","EXB0002",0,45,0,"AAC28"
"20","AAC36E1","EXB0002",0.13,45,6,"AAC36"
"21","AAW10E1","EXB0002",3.05,45,137,"AAW10"
"22","AAW16E1","EXB0002",22.9,45,1031,"AAW16"
"23","C1_EXB0002E1","EXB0002",0,45,0,"C1_EXB0002"
"24","AAD12E1","EXB0001",0.12,45,5,"AAD12"
"25","AAC83E2","EXB0001",0.4,17,7,"AAC83"
"26","AD81E1","EXB0001",0.5,45,23,"AD81"
"27","AAD16E2","EXB0001",0.25,17,4,"AAD16"
"28","AAC94E1","EXB0001",59,45,2655,"AAC94"
"29","AAD16E1","EXB0001",0.09,45,4,"AAD16"
"30","AAC86E2","EXB0001",48.4,17,823,"AAC86"
"31","AD74E2","EXB0001",0.18,17,3,"AD74"
"32","AAC62E1","EXB0001",1.49,45,67,"AAC62"
"33","AAD10E2","EXB0001",150,17,2550,"AAD10"
"34","AAB85E1","EXB0001",0.19,45,9,"AAB85"
"35","AAC86E1","EXB0001",35,45,1575,"AAC86"
"36","AAD23E2","EXB0001",23,17,391,"AAD23"
"37","AAC96E2","EXB0001",0.25,17,4,"AAC96"
"38","AD85E1","EXB0001",7.74,45,348,"AD85"
"39","AAD15E2","EXB0001",0,17,0,"AAD15"
"40","AD89E1","EXB0001",5.9,45,266,"AD89"
"41","AD89E2","EXB0001",5.5,17,94,"AD89"
"42","AAD23E1","EXB0001",5.5,45,248,"AAD23"
"43","AAD15E1","EXB0001",0.93,45,42,"AAD15"
"44","AAC46E1","EXB0001",5.24,45,236,"AAC46"
"45","C1_EXB0001E1","EXB0001",0,45,0,"C1_EXB0001"
"46","AD84E2","EXB0001",1.83,17,31,"AD84"
