extraction_concentration	extraction_volume	extraction_id	extraction_total	sample_id
0.0988	45	AFN35E1	4.446	AFN35
11.8	45	ABB64E1	531	ABB64
0.0949	45	AEZ60E1	4.2705	AEZ60
0	45	AHI42E1	0	AHI42
4.54	45	AFP91E1	204.3	AFP91
0.869	45	AFI16E1	39.105	AFI16
1.95	45	ACK84E1	87.75	ACK84
0.0729	45	AHO40E1	3.2805000000000004	AHO40
7.05	45	NSAP34E1	317.25	NSAP34
17.7	45	AEX32E1	796.5	AEX32
2.28	45	AFV20E2	102.6	AFV20
1.52	45	AAE69E1	68.4	AAE69
45.4	45	ABI59E1	2043	ABI59
0.12	17	AAB85E2	2.04	AAB85
0.00482	45	C1_EXB0076E2	0.21689999999999998	C1_EXB0076
0.106	45	ACP12E2	4.77	ACP12
35.4	45	AFK88E1	1593	AFK88
3.02	45	ACP23E1	135.9	ACP23
2.21	45	ABT69E1	99.45	ABT69
0	45	ACE21E1	0	ACE21
6.95	45	AAZ95E1	312.75	AAZ95
0.192	45	AAW72E1	8.64	AAW72
5.9	45	ADW18E1	265.5	ADW18
0.0977	45	AGI34E1	4.3965	AGI34
5.19	45	AEM09E1	233.55	AEM09
68.4	45	AGG17E1	3078.0000000000005	AGG17
6.46	45	AFU62E1	290.7	AFU62
0.233	45	AGZ51E1	10.485000000000001	AGZ51
6.15	45	AGH24E1	276.75	AGH24
0.101	45	ACD34E1	4.545	ACD34
0.125	45	AAW41E2	5.625	AAW41
28.9	45	AFP85E1	1300.5	AFP85
21.4	45	AAS39E1	962.9999999999999	AAS39
4.45	45	AHW91E1	200.25	AHW91
5.33	45	AD74E1	239.85	AD74
0.633	45	AFU85E1	28.485	AFU85
0.0535	45	C1_EXB0053E1	2.4074999999999998	C1_EXB0053
1.78	45	AGH23E1	80.1	AGH23
51	45	AIG81E2	2295	AIG81
15.2	45	AFM60E1	684	AFM60
4.05	45	ABW38E1	182.25	ABW38
28.9	45	AGD07E1	1300.5	AGD07
0.756	45	AFN06E1	34.02	AFN06
0.17	45	ABK46E1	7.65	ABK46
25.4	45	AGD24E1	1143	AGD24
1.4	45	AAM01E1	62.99999999999999	AAM01
0.0332	45	AHN61E1	1.494	AHN61
19.4	45	ABD27E2	872.9999999999999	ABD27
22.8	45	AFQ49E1	1026	AFQ49
0.527	45	ACX69E2	23.715	ACX69
6.36	45	AFP91E2	286.2	AFP91
2.14	45	AAP02E1	96.30000000000001	AAP02
56.9	45	AIG13E2	2560.5	AIG13
2.71	45	ACC04E2	121.95	ACC04
0.0493	45	AHO13E1	2.2184999999999997	AHO13
1.82	45	ABR29E1	81.9	ABR29
0.133	45	AEU91E1	5.985	AEU91
13.3	45	AA17E1	598.5	AA17
24.3	45	ADE09E1	1093.5	ADE09
0	45	C1_EXB0044E1	0	C1_EXB0044
0	45	ACC98E1	0	ACC98
7.79	45	BATA18E1	350.55	BATA18
4.32	45	AGP25E1	194.4	AGP25
2.83	45	AII42E1	127.35000000000001	AII42
0.0689	45	AFH79E1	3.1005000000000003	AFH79
0.201	45	AEV47E1	9.045	AEV47
1.4	45	ACC02E1	62.99999999999999	ACC02
11.4	45	AIH77E1	513	AIH77
11.4	45	ABP99E1	513	ABP99
1.46	45	AIJ24E1	65.7	AIJ24
58.1	45	AGG16E1	2614.5	AGG16
1.8	45	ABC33E1	81	ABC33
0.071	45	C1_EXB0006E1	3.195	C1_EXB0006
22.1	45	AHE14E1	994.5000000000001	AHE14
0.27	45	OPAU40E1	12.15	OPAU40
14.2	45	ADI75E1	639	ADI75
0.835	45	ADM65E1	37.574999999999996	ADM65
1.2	45	AEM45E1	54	AEM45
6.9	45	AAM10E1	310.5	AAM10
0.57	45	AAM50E1	25.65	AAM50
7.58	45	AIF92E1	341.1	AIF92
3.72	45	C3_EXB0034E1	167.4	C3_EXB0034
17.7	45	ADJ44E1	796.5	ADJ44
7.01	45	OPAU69E2	315.45	OPAU69
21.3	45	AAN13E1	958.5	AAN13
9.04	45	ADL74E1	406.79999999999995	ADL74
4.41	45	AJP53E1	198.45000000000002	AJP53
