host_species	taxid	host_genus	host_family	host_order	host_class
Tylomys watsoni	1002723	Tylomys	Cricetidae	Rodentia	Mammalia
Stercorarius skua	54056	Stercorarius	Stercorariidae	Charadriiformes	Aves
Phrynobatrachus krefftii	333691	Phrynobatrachus	Phrynobatrachidae	Anura	Amphibia
Trigonoceps occipitalis	8975	Trigonoceps	Accipitridae	Accipitriformes	Aves
Hemitriccus minor	360203	Hemitriccus	Tyrannidae	Passeriformes	Aves
Limosa fedoa	162324	Limosa	Scolopacidae	Charadriiformes	Aves
Anilios guentheri	759986	Anilios	Typhlopidae	Squamata	Lepidosauria
Gerbillus hoogstrali	1100084	Gerbillus	Muridae	Rodentia	Mammalia
Tamias panamintinus	123790	Tamias	Sciuridae	Rodentia	Mammalia
Pristimantis achatinus	448521	Pristimantis	Strabomantidae	Anura	Amphibia
Ichthyophis biangularis	1120422	Ichthyophis	Ichthyophiidae	Gymnophiona	Amphibia
Chamaeleo dilepis	91908	Chamaeleo	Chamaeleonidae	Squamata	Lepidosauria
Panterpe insignis	304665	Panterpe	Trochilidae	Apodiformes	Aves
Pseudaspis cana	184168	Pseudaspis	Lamprophiidae	Squamata	Lepidosauria
Vandijkophrynus inyangae	125854	Vandijkophrynus	Bufonidae	Anura	Amphibia
Selasphorus calliope	472914	Selasphorus	Trochilidae	Apodiformes	Aves
Atractaspis corpulenta	39393	Atractaspis	Lamprophiidae	Squamata	Lepidosauria
Allobates undulatus	356202	Allobates	Dendrobatidae	Anura	Amphibia
Conraua robusta	356203	Conraua	Petropedetidae	Anura	Amphibia
Minervarya agricola	2547925	Minervarya	Dicroglossidae	Anura	Amphibia
Tropidurus insulanus	179251	Tropidurus	Iguanidae	Squamata	Lepidosauria
Thylamys pusillus	191873	Thylamys	Didelphidae	Didelphimorphia	Mammalia
Leptobrachium mouhoti	469897	Leptobrachium	Megophryidae	Anura	Amphibia
Delma nasuta	207589	Delma	Pygopodidae	Squamata	Lepidosauria
Pleurodema thaul	404002	Pleurodema	Leptodactylidae	Anura	Amphibia
Microtus bavaricus	137710	Microtus	Cricetidae	Rodentia	Mammalia
Ardenna creatopus	48679	Ardenna	Procellariidae	Procellariiformes	Aves
Cercopithecus lomamiensis	1191211	Cercopithecus	Cercopithecidae	Primates	Mammalia
Circus ranivorus	321096	Circus	Accipitridae	Accipitriformes	Aves
Tetradactylus seps	126624	Tetradactylus	Gerrhosauridae	Squamata	Lepidosauria
Spizella pusilla	40212	Spizella	Passerellidae	Passeriformes	Aves
Kinosternon integrum	904200	Kinosternon	Kinosternidae	Testudines	Testudinata
Eulidia yarrellii	1159642	Eulidia	Trochilidae	Apodiformes	Aves
Enyalioides oshaughnessyi	542823	Enyalioides	Iguanidae	Squamata	Lepidosauria
Piculus flavigula	315380	Piculus	Picidae	Piciformes	Aves
Stenocercus rhodomelas	342350	Stenocercus	Iguanidae	Squamata	Lepidosauria
Lanio fulvus	548484	Lanio	Thraupidae	Passeriformes	Aves
Boulengerula taitana	102246	Boulengerula	Herpelidae	Gymnophiona	Amphibia
Grallaria eludens	255369	Grallaria	Formicariidae	Passeriformes	Aves
Pteropus voeltzkowi	589509	Pteropus	Pteropodidae	Chiroptera	Mammalia
Habromys ixtlani	397749	Habromys	Cricetidae	Rodentia	Mammalia
Eolagurus luteus	685891	Eolagurus	Cricetidae	Rodentia	Mammalia
Icterus cucullatus	105511	Icterus	Icteridae	Passeriformes	Aves
Rhinella atacamensis	301299	Rhinella	Bufonidae	Anura	Amphibia
Varecia rubra	554167	Varecia	Lemuridae	Primates	Mammalia
Emoia schmidti	999328	Emoia	Scincidae	Squamata	Lepidosauria
Antechinus agilis	400481	Antechinus	Dasyuridae	Dasyuromorphia	Mammalia
Odorrana utsunomiyaorum	310663	Odorrana	Ranidae	Anura	Amphibia
Daubentonia madagascariensis	31869	Daubentonia	Daubentoniidae	Primates	Mammalia
Cranioleuca demissa	86270	Cranioleuca	Furnariidae	Passeriformes	Aves
Uroplatus sp. B CMI-2008	543552	Uroplatus	Gekkonidae	Squamata	Lepidosauria
Tangara nigrocincta	256451	Tangara	Thraupidae	Passeriformes	Aves
Takydromus luyeanus	1237065	Takydromus	Lacertidae	Squamata	Lepidosauria
Bombycilla cedrorum	161648	Bombycilla	Bombycillidae	Passeriformes	Aves
Lucasium maini	1165297	Lucasium	Diplodactylidae	Squamata	Lepidosauria
Anolis etheridgei	75254	Anolis	Dactyloidae	Squamata	Lepidosauria
Rhinolophus sinicus	89399	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia
Microlophus albemarlensis	184593	Microlophus	Iguanidae	Squamata	Lepidosauria
Nothoprocta perdicaria	30464	Nothoprocta	Tinamidae	Tinamiformes	Aves
Dendrocoptes medius	1517833	Dendrocoptes	Picidae	Piciformes	Aves
Potos flavus	29067	Potos	Procyonidae	Carnivora	Mammalia
Thermophis baileyi	527827	Thermophis	Dipsadidae	Squamata	Lepidosauria
Dendrocopos hyperythrus	381866	Dendrocopos	Picidae	Piciformes	Aves
Muscisaxicola maculirostris	123668	Muscisaxicola	Tyrannidae	Passeriformes	Aves
Chlidonias hybrida	297805	Chlidonias	Laridae	Charadriiformes	Aves
