"index_id","index_batch","library_id","extraction_id","sample_id","library_input_dna","library_PCR_cycles_given","index_adaptors_molarity","index_library_molarity","index_volume","index_library_moles"
"AAX73E1L1I1","INB0002","AAX73E1L1","AAX73E1","AAX73",31,10,0.78,1.74,32,56
"AAH18E1L1I1","INB0002","AAH18E1L1","AAH18E1","AAH18",7.7,16,2.39,6.04,32,193
"AAX81E1L1I1","INB0002","AAX81E1L1","AAX81E1","AAX81",0,19,2.19,5.75,32,184
"AAH61E1L1I1","INB0002","AAH61E1L1","AAH61E1","AAH61",18.2,13,0.92,1.9,32,61
"AAX75E1L1I1","INB0002","AAX75E1L1","AAX75E1","AAX75",4.3,16,0.8,2.08,32,67
"C1_EXB0010E1L1I1","INB0002","C1_EXB0010E1L1","C1_EXB0010E1","C1_EXB0010",0,19,0.05,0.19,32,6
"AAX93E1L1I1","INB0002","AAX93E1L1","AAX93E1","AAX93",29.8,13,0.97,2.36,32,76
"I1","INB0002","","","",NA,19,0.2,0.92,32,29
"AAX76E1L1I1","INB0002","AAX76E1L1","AAX76E1","AAX76",1.3,16,1.96,1.52,32,48
"AAH27E1L1I1","INB0002","AAH27E1L1","AAH27E1","AAH27",42,16,3.97,8.72,32,279
"AAH19E1L1I1","INB0002","AAH19E1L1","AAH19E1","AAH19",1.6,19,1.67,4.88,32,156
"AAI03E1L1I1","INB0002","AAI03E1L1","AAI03E1","AAI03",34.8,16,6.5,14.4,32,461
"AAH52E1L1I1","INB0002","AAH52E1L1","AAH52E1","AAH52",11,16,4.64,11.9,32,381
"AAX83E1L1I1","INB0002","AAX83E1L1","AAX83E1","AAX83",0,19,0.22,0.47,32,15
"AAH51E1L1I1","INB0002","AAH51E1L1","AAH51E1","AAH51",9.6,19,3.18,6.49,32,208
"AAH32E1L1I1","INB0002","AAH32E1L1","AAH32E1","AAH32",8.4,16,7.34,13.8,32,442
"AAH60E1L1I1","INB0002","AAH60E1L1","AAH60E1","AAH60",16.8,13,2.66,6.42,32,205
"AAX97E1L1I1","INB0002","AAX97E1L1","AAX97E1","AAX97",7.2,13,1.06,2.63,32,84
"C2_EXB0010E1L1I1","INB0002","C2_EXB0010E1L1","C2_EXB0010E1","C2_EXB0010",0,19,0.03,0.14,32,4
"AAH33E1L1I1","INB0002","AAH33E1L1","AAH33E1","AAH33",65.5,13,0.78,2.28,32,73
"AAI04E1L1I1","INB0002","AAI04E1L1","AAI04E1","AAI04",23.9,13,1.01,2.81,32,90
"AAS27E1L1I1","INB0001","AAS27E1L1","AAS27E1","AAS27",3.2,19,15.79,11.57,32,370
"AAS35E1L1I1","INB0001","AAS35E1L1","AAS35E1","AAS35",223,8,0,6.15,32,197
"AAS36E1L1I1","INB0001","AAS36E1L1","AAS36E1","AAS36",20.6,14,1.01,11.21,32,359
"AAS39E1L1I1","INB0001","AAS39E1L1","AAS39E1","AAS39",400.2,11,1,28.31,32,906
"AAS37E1L1I1","INB0001","AAS37E1L1","AAS37E1","AAS37",4.7,16,2.69,6.88,32,220
"AAS42E1L1I1","INB0001","AAS42E1L1","AAS42E1","AAS42",9.3,18,3.3,8.78,32,281
"AAS19E1L1I1","INB0001","AAS19E1L1","AAS19E1","AAS19",22.7,12,0.41,9.92,32,318
"AAS17E1L1I1","INB0001","AAS17E1L1","AAS17E1","AAS17",84,14,0.62,15.9,32,509
"AAS41E1L1I1","INB0001","AAS41E1L1","AAS41E1","AAS41",4.1,16,4.01,9.19,32,294
"AAS20E1L1I1","INB0001","AAS20E1L1","AAS20E1","AAS20",13.3,14,1.15,10.94,32,350
"AAS18E1L1I1","INB0001","AAS18E1L1","AAS18E1","AAS18",4.2,20,10.01,20.93,32,670
"AAS23E1L1I1","INB0001","AAS23E1L1","AAS23E1","AAS23",400.8,8,0.16,3.38,32,108
"AAS32E1L1I1","INB0001","AAS32E1L1","AAS32E1","AAS32",40,10,0.28,10.85,32,347
"AAS29E1L1I1","INB0001","AAS29E1L1","AAS29E1","AAS29",4.6,16,0.9,7.59,32,243
"AAS30E1L1I1","INB0001","AAS30E1L1","AAS30E1","AAS30",18.2,12,2.07,24.98,32,799
"AAS31E1L1I1","INB0001","AAS31E1L1","AAS31E1","AAS31",2,10,0.1,0.47,32,15
"AAS24E1L1I1","INB0001","AAS24E1L1","AAS24E1","AAS24",400.1,12,4.52,18.21,32,583
"AAS22E1L1I1","INB0001","AAS22E1L1","AAS22E1","AAS22",14,12,4.22,21.12,32,676
"AAS21E1L1I1","INB0001","AAS21E1L1","AAS21E1","AAS21",0,10,1.47,0.31,32,10
"AAS38E1L1I1","INB0001","AAS38E1L1","AAS38E1","AAS38",3.5,18,9.12,19.67,32,629
"NSAP67E1L1I1","INB0001","NSAP67E1L1","NSAP67E1","NSAP67",91,12,0.4,22.12,32,708
"AAS10E1L1I1","INB0001","AAS10E1L1","AAS10E1","AAS10",46.4,12,0.63,23.88,32,764
