index_id	index_adaptors_molarity	index_PCR_cycles_given	index_library_molarity	Datasets_flat	library_id
AEX32E1L1I1	42.4645	7	28.7699	EHI00684	AEX32E1L1
AFQ79E2L1I1	17.2646	7	7.0892	EHI01069	AFQ79E2L1
AAM10E1L1I1	0.1631	13	10.1721	NA	AAM10E1L1
AAB69E1L1I2	8.8582	19	0.2364	NA	AAB69E1L1
AAD30E1L1I1	14.2821	10	12.8913	EHI01207	AAD30E1L1
ABU38E1L1I2	25.2118	19	1.1219	NA	ABU38E1L1
AGG17E1L1I1	12.1716	7	9.4254	EHI00780	AGG17E1L1
OPAU5E2L1I1	0.8276	10	2.4507	EHI00588	OPAU5E2L1
ADV63E1L1I1	2.0368	7	27.1488	EHI02012	ADV63E1L1
C1_EXB0020E1L1I1	1.1772	10	7.8648	EHI00294	C1_EXB0020E1L1
AAC71E1L1I1	NA	12	NA	NA	AAC71E1L1
AHC82E1L1I1	1.6269	7	42.6793	EHI02177	AHC82E1L1
ADG27E1L1I1	0.5073	7	22.9053	EHI02359	ADG27E1L1
ABG47E1L1I1	11.7006	7	8.0759	EHI00879	ABG47E1L1
AIH75E1L1I1	14.1093	10	11.0558	EHI01188	AIH75E1L1
AAA48E1L1I1	2.2901	10	9.4783	EHI00302	AAA48E1L1
ABB41E1L1I1	1.1264	7	21.9022	EHI01803	ABB41E1L1
ACD88E1L1I1	11.65	19	2.3747	EHI00855	ACD88E1L1
AEU32E1L1I1	1.0102	10	13.0308	EHI02031	AEU32E1L1
AAA66E1L1I1	12.1954	10	4.0305	EHI01526	AAA66E1L1
ABZ41E1L1I1	10.3005	10	8.2579	EHI00880	ABZ41E1L1
AHO58E1L1I1	0.5082	13	10.9009	EHI02542, EHI02664	AHO58E1L1
AGN41E1L1I1	NA	10	NA	NA	AGN41E1L1
AII81E1L1I1	1.2326	7	28.0377	EHI01789	AII81E1L1
AAV99E1L1I1	11.1904	10	3.0522	EHI01518	AAV99E1L1
ACH54E1L1I1	7.0343	10	12.2314	EHI01515	ACH54E1L1
AFH38E1L1I1	1.3884	13	5.741	EHI02477	AFH38E1L1
AAV18E1L1I1	8.1695	7	4.0578	EHI01467	AAV18E1L1
AGN75E1L1I1	NA	7	NA	NA	AGN75E1L1
ACY29E1L1I1	19.4019	7	7.3489	EHI01072	ACY29E1L1
AHE95E1L1I1	NA	7	NA	NA	AHE95E1L1
ABJ53E1L1I1	0	10	15.5097	EHI00130	ABJ53E1L1
AAB49E1L1I1	3.4371	7	17.2027	EHI00402	AAB49E1L1
AAC28E1L1I1	NA	18	0.1172	NA	AAC28E1L1
AAW49E1L1I1	21.5423	13	0.2445	EHI01565	AAW49E1L1
AKD89E1L1I1	0.2586	13	0.1218	NA	AKD89E1L1
AHO21E1L1I1	0.6561	13	11.2442	EHI02544, EHI02666	AHO21E1L1
ADV25E1L1I1	0.076	10	1.1268	NA	ADV25E1L1
AFV34E1L1I1	0.8846	7	7.7985	EHI00505	AFV34E1L1
ACJ82E1L1I1	3.6753	13	6.1791	EHI01393	ACJ82E1L1
AAW64E1L1I1	6.6951	10	17.6814	EHI01540	AAW64E1L1
ABZ49E1L1I1	14.5461	7	9.803	EHI00896	ABZ49E1L1
ACP21E1L1I1	9.08	19	1.76	NA	ACP21E1L1
AEV81E1L1I1	37.6784	7	7.3915	EHI00676	AEV81E1L1
AHO76E1L1I1	0.0681	13	25.7784	EHI02555, EHI02677	AHO76E1L1
ACD04E1L1I1	10.6407	13	2.5279	EHI00822	ACD04E1L1
AGD14E1L1I1	9.7259	7	22.7148	EHI01312	AGD14E1L1
AGF24E1L1I1	1.6085	7	9.2206	EHI00517	AGF24E1L1
AAU73E1L1I1	1.3981	7	17.1274	EHI01739	AAU73E1L1
AED65E1L1I1	9.2668	7	10.5842	EHI01256	AED65E1L1
AEY21E1L1I1	4.7198	7	2.0472	EHI00701	AEY21E1L1
AFO99E1L1I1	15.9756	7	5.7541	EHI01063	AFO99E1L1
AFZ45E1L1I1	2.2355	7	29.8549	EHI02230	AFZ45E1L1
ABS93E1L1I1	10.9287	10	9.316	EHI00890	ABS93E1L1
ABE10E2L1I1	1.1196	15	1.6268	EHI02116	ABE10E2L1
ACP21E1L1I2	8.4706	19	2.178	NA	ACP21E1L1
ABB56E1L1I1	0.7747	7	17.6248	EHI02237	ABB56E1L1
AFN06E1L1I1	0.4147	10	0.7154	EHI00197	AFN06E1L1
AFP13E1L1I1	0.3533	13	2.177	EHI01829	AFP13E1L1
AGN18E1L1I1	NA	10	NA	NA	AGN18E1L1
ADV25E1L2I1	2.5259	19	0.0588	NA	ADV25E1L2
ABT68E2L2I1	0.0672	10	1.6544	EHI00215	ABT68E2L2
ABO44E1L1I1	10.2223	7	18.7381	EHI00942	ABO44E1L1
ACP12E1L1I1	0.0692	10	0.2443	NA	ACP12E1L1
AEL17E1L1I1	1.3133	7	34.3184	EHI02239	AEL17E1L1
AGD20E1L1I1	6.965	7	18.8589	EHI01297	AGD20E1L1
ABK90E1L1I1	0	10	21.7852	EHI00086	ABK90E1L1
BATB07E1L1I1	0.1655	13	11.4114	NA	BATB07E1L1
AFI81E1L1I1	0.2488	13	2.5788	EHI02489	AFI81E1L1
AGC05E1L1I1	7.093	7	25.2213	EHI01317	AGC05E1L1
AAC40E1L1I1	NA	12	0.0491	NA	AAC40E1L1
AEL73E1L1I1	0.3835	7	8.4737	EHI00381	AEL73E1L1
AIR15E1L1I1	2.3243	7	21.1817	NA	AIR15E1L1
ABM29E1L1I1	1.8865	7	29.6562	EHI02188	ABM29E1L1
ACP13E1L1I1	0.0054	10	0.1943	NA	ACP13E1L1
AGO01E1L1I1	NA	7	NA	NA	AGO01E1L1
AA05E1L1I1	10.5067	10	62.21	EHI01039	AA05E1L1
AFU65E1L1I1	26.4692	7	4.7933	EHI00763	AFU65E1L1
AHB97E1L1I1	5.4771	7	73.5491	EHI02166	AHB97E1L1
C1_EXB0099E1L1I1	0.0875	13	0.0281	NA	C1_EXB0099E1L1
ADV02E1L1I1	0.4282	13	3.0142	EHI00243	ADV02E1L1
I2	0	19	0.3357	NA	NA
ACP14E1L1I2	1.1844	16	3.807	EHI00255	ACP14E1L1
AFQ29E1L1I1	17.5839	7	9.2231	EHI01078	AFQ29E1L1
AEA94E1L1I1	29.3069	7	156.4043	EHI01176	AEA94E1L1
AAD12E2L1I1	NA	16	NA	NA	AAD12E2L1
AIF97E1L1I1	91.1593	7	253.3344	EHI01098, EHI01650	AIF97E1L1
AEX95E1L1I1	39.1617	7	12.1423	EHI00699	AEX95E1L1
AFT22E1L1I1	1.6832	7	41.6334	EHI02052	AFT22E1L1
AFN36E1L1I1	0.3563	10	4.5892	EHI00373	AFN36E1L1
ADF26E1L1I1	0.3542	19	14.3939	NA	ADF26E1L1
ABR21E1L1I1	0.0648	9	1.4603	EHI02288	ABR21E1L1
AAD32E1L1I1	14.0102	13	12.3548	EHI01229	AAD32E1L1
ACZ99E1L1I1	12.4588	7	9.4768	EHI00894	ACZ99E1L1
OPAU28E1L1I1	2.6153	7	4.3594	EHI00474	OPAU28E1L1
ABO13E1L1I1	0.4655	10	12.6377	EHI01756	ABO13E1L1
AEX12E1L1I1	38.3757	7	12.7396	EHI00681	AEX12E1L1
ABL86E1L1I1	0	10	14.5491	EHI00095	ABL86E1L1
AAW15E1L1I1	0	16	23.7046	EHI00099, EHI01243	AAW15E1L1
ABC29E1L1I1	0.5834	13	4.2216	EHI02039	ABC29E1L1
AGO37E1L1I1	0.5147	7	13.0997	EHI02589	AGO37E1L1
AFW32E1L1I1	1.2693	7	11.0136	EHI00386	AFW32E1L1
ABH58E1L1I1	1.34	13	2.05	NA	ABH58E1L1
AAS08E1L1I1	0.0372	12	15.9669	EHI00029	AAS08E1L1
ACD50E1L1I1	12.6896	13	17.8124	EHI00983	ACD50E1L1
AIR09E1L1I1	0.127	7	2.5869	NA	AIR09E1L1
AFQ71E2L1I1	20.2617	7	6.8785	EHI01068	AFQ71E2L1
ABB21E1L1I1	7.5438	10	14.3787	EHI01508	ABB21E1L1
AAO95E1L1I1	14.5578	7	10.0035	EHI01611	AAO95E1L1
ACD05E1L1I1	6.5243	19	2.4549	EHI00850	ACD05E1L1
AHW99E1L1I1	0.9324	7	19.5964	EHI01809	AHW99E1L1
ACR94E1L1I1	29.7367	7	146.2304	EHI01179	ACR94E1L1
AGP16E1L1I1	0.6481	10	23.2814	EHI02637	AGP16E1L1
ABZ31E1L1I1	14.5308	7	41.0327	EHI01012	ABZ31E1L1
AAV53E1L1I1	4.2181	7	24.5679	EHI02002	AAV53E1L1
ABN91E1L1I1	12.0586	7	53.5978	EHI01034	ABN91E1L1
OPAU43E2L1I1	0.8416	10	1.9678	EHI00582	OPAU43E2L1
AHV65E1L1I1	0.6511	7	9.2314	EHI01806	AHV65E1L1
AAZ76E1L1I1	0.313	7	2.8969	EHI01735	AAZ76E1L1
AJP53E1L1I1	0.4445	7	8.8451	EHI02584	AJP53E1L1
AFN21E1L1I1	0.39	10	10.11	EHI02499	AFN21E1L1
AAH87E1L1I1	3.1156	7	10.0405	EHI02405	AAH87E1L1
AGC46E1L1I1	5.9566	7	20.4203	EHI01330	AGC46E1L1
AAD59E1L1I1	0.516	7	13.4905	EHI02418	AAD59E1L1
AIY67E1L1I1	0.4386	13	13.2739	EHI02647	AIY67E1L1
OPAU46E1L1I1	0.911	10	8.2296	EHI00634	OPAU46E1L1
AFV41E1L1I1	13.1509	7	22.535	EHI01594	AFV41E1L1
AGI58E1L1I1	11.8064	19	2.577	EHI02125	AGI58E1L1
AAC36E1L1I2	0.4942	13	0.2397	NA	AAC36E1L1
AEL29E1L1I1	0.6768	10	18.7417	EHI02035	AEL29E1L1
ADM55E1L1I1	0.1541	10	27.8184	NA	ADM55E1L1
AAC83E1L1I2	0.9053	16	7.143	EHI00061	AAC83E1L1
AAP07E1L1I1	12.6394	10	16.1476	EHI01439	AAP07E1L1
AGZ71E1L1I1	4.5718	13	3.9705	EHI01400	AGZ71E1L1
AGC50E1L1I1	10.7645	7	9.6117	EHI01319	AGC50E1L1
ABT69E2L1I1	0.6038	10	0.0707	NA	ABT69E2L1
AFT17E1L1I1	0.1989	7	3.0248	EHI02040	AFT17E1L1
AAW89E1L1I1	26.6637	10	2.528	EHI01534	AAW89E1L1
AFT49E1L1I1	5.1712	10	1.546	EHI01351	AFT49E1L1
AAX65E1L1I1	14.8871	13	5.5863	EHI01560	AAX65E1L1
AGJ27E1L1I1	4.4791	10	2.7229	EHI01358	AGJ27E1L1
AJP39E1L1I1	0.7782	7	5.55	EHI02615	AJP39E1L1
AA75E1L1I1	10.8317	13	7.3521	EHI00873	AA75E1L1
