library_id	library_adaptor_molarity	library_PCR_cycles_required	library_input_dna	library_input_volume	extraction_id	sample_id	sequencing_datasets
L1	20	16	125	25	NA	NA	NA
AD81E2L1	10	18	0	24	AD81E2	AD81	NA
AA92E1L1	20	3	200	13.8	AA92E1	AA92	EHI00563
AAS06E1L1	10	23	17.334	27	AAS06E1	AAS06	NA
AIR99E1L1	10	7	12.96	24	AIR99E1	AIR99	NA
AAD12E1L1	10	14	2.76	24	AAD12E1	AAD12	EHI00050
AFV17E1L1	10	13	15.216	24	AFV17E1	AFV17	NA
AAT39E1L1	10	15	7.614	27	AAT39E1	AAT39	NA
ABK17E1L1	20	6	189	7	ABK17E1	ABK17	EHI01712
AED21E1L1	20	9	107.76	24	AED21E1	AED21	EHI01342
AAY25E1L1	5	13	1.44	24	AAY25E1	AAY25	NA
ACE03E1L1	5	15	1.0176	24	ACE03E1	ACE03	EHI00893
AAO92E1L1	10	9	38.16	24	AAO92E1	AAO92	EHI01444
AAD10E2L1	50	8	150	4	AAD10E2	AAD10	EHI00056
AGM97E1L1	20	5	200	21.9	AGM97E1	AGM97	NA
AHG84E1L1	20	3	200	8.1	AHG84E1	AHG84	EHI02153
AEM52E1L1	20	5	200	8.8	AEM52E1	AEM52	EHI02014
ABQ46E1L1	20	6	202.3	17	ABQ46E1	ABQ46	EHI00671
OPAU58E1L1	10	8	21.6	24	OPAU58E1	OPAU58	EHI00652
AIV51E1L1	5	14	0.162	24	AIV51E1	AIV51	EHI02535
AAQ18E2L1	10	18	19.032	24	AAQ18E2	AAQ18	EHI02128
BATA13E1L1	20	10	181.44	24	BATA13E1	BATA13	EHI00308
AEX07E1L1	20	6	179.4	6	AEX07E1	AEX07	EHI00678
AGN92E1L1	20	8	200	20	AGN92E1	AGN92	NA
AFN06E1L1	10	10	15.12	20	AFN06E1	AFN06	EHI00197
AGD02E1L1	20	7	200	12.5	AGD02E1	AGD02	EHI01316
ADV11E1L1	10	11	1.2	20	ADV11E1	ADV11	EHI00220
C1_EXB0026E1L1	2	25	0	24	C1_EXB0026E1	C1_EXB0026	EHI00421
ADJ12E1L1	5	8	4.032	24	ADJ12E1	ADJ12	EHI02385
ABI47E2L2	20	7	194.4	18	ABI47E2	ABI47	EHI00175
ABO79E1L1	20	3	200	7.5	ABO79E1	ABO79	EHI01744
ABQ08E1L1	20	6	175	6	ABQ08E1	ABQ08	EHI00667
AAZ79E1L1	20	9	95.28	24	AAZ79E1	AAZ79	EHI01512
AAQ04E1L1	20	7	52.32	24	AAQ04E1	AAQ04	EHI01624
AAH11E1L1	20	6	200	15.3	AAH11E1	AAH11	EHI02426
AEZ78E1L1	5	13	3.888	24	AEZ78E1	AEZ78	EHI02516
AAH77E1L1	5	11	9.84	24	AAH77E1	AAH77	EHI00807
