mapping_percentage	sequence_id	mapping_id
81.6281	EHI01735	DM03350
39.34372	EHI00499	DM00677
57.20715	EHI00845	DM02453
91.69869	EHI01286	DM01334
0.78363	EHI00585	DM01609
11.85929	EHI00259	DM03371
71.60424	EHI01621	DM01828
85.65434	EHI01458	DM01901
32.26685	EHI00832	DM02555
68.43148	EHI00342	DM01051
87.30896	EHI01331	DM01398
58.98194	EHI00856	DM02490
65.97863	EHI01353	DM02187
63.93568	EHI01559	DM01899
NA	NA	DM00266
0.27816	EHI02535	DM03652
82.08645	EHI01056	DM01379
69.27851	EHI00363	DM01905
17.34797	EHI00607	DM01630
70.54973	EHI00734	DM01710
44.46522	EHI01645	DM01844
81.27132	EHI01552	DM01883
80.12814	EHI01739	DM03239
37.15617	EHI00495	DM02348
NA	NA	DM00315
52.53768	EHI00851	DM02551
81.3922	EHI02024	DM03242
29.81135	EHI00954	DM02215
0.72036	EHI00598	DM01595
83.03225	EHI02235	DM03217
0.34999	EHI02340	DM03445
56.73908	EHI00831	DM02469
76.61816	EHI00986	DM00510
79.4743	EHI02496	DM03499
82.49244	EHI00925	DM01070
NA	NA	DM00237
62.37071	EHI00690	DM00606
10.88125	EHI01127	DM02935
73.32247	EHI01451	DM03752
2.71068	EHI01630	DM01819
79.28809	EHI01050	DM00973
NA	NA	DM00215
35.77063	EHI00952	DM02269
3.37472	EHI01122	DM01176
58.98194	EHI00856	DM02478
69.78058	EHI00837	DM02560
80.08251	EHI01067	DM01108
NA	NA	DM00252
48.94283	EHI00534	DM00529
1.34853	EHI01130	DM01188
51.18318	EHI00557	DM00586
9.87929	EHI00346	DM00579
6.44138	EHI02103	DM03101
85.28999	EHI01529	DM02067
41.1786	EHI01247	DM01520
70.44492	EHI00437	DM00491
86.15146	EHI01549	DM02047
46.30451	EHI01126	DM02913
81.75185	EHI00380	DM02005
85.53539	EHI01459	DM03282
21.30543	EHI01152	DM01168
22.74564	EHI00268	DM02495
81.38281	EHI01512	DM01891
30.37454	EHI00166	DM01012
1.49043	EHI01652	DM02289
50.20319	EHI02110	DM03025
73.45176	EHI00176	DM00807
57.9236	EHI01264	DM01501
87.15506	EHI01291	DM01426
1.0813	EHI00847	DM02196
16.93988	EHI01109	DM02869
86.01658	EHI01304	DM01324
3.11146	EHI01137	DM01171
76.73283	EHI01510	DM01954
64.08971	EHI00720	DM02148
76.15614	EHI00276	DM00584
61.50021	EHI01506	DM03296
64.64779	EHI01822	DM02908
86.32355	EHI02038	DM03275
2.56983	EHI01406	DM03621
79.35335	EHI02039	DM03327
88.46475	EHI01462	DM02040
79.22955	EHI01447	DM03754
68.20195	EHI00467	DM02783
32.26685	EHI00832	DM02658
68.24293	EHI02369	DM03436
82.2099	EHI00138	DM02791
2.49722	EHI01615	DM01803
44.64165	EHI00668	DM01714
9.42831	EHI01167	DM03485
2.42247	EHI01570	DM03639
75.78079	EHI00247	DM01225
69.78058	EHI00837	DM02476
59.49882	EHI00732	DM01689
56.65136	EHI00477	DM02831
66.92182	EHI02268	DM03624
75.10533	EHI02588	DM03681
76.4048	EHI00385	DM01272
7.38265	EHI01646	DM02299
NA	NA	DM00236
73.1488	EHI01974	DM02978
75.77041	EHI02002	DM03310
62.14975	EHI00731	DM01693
81.27788	EHI00850	DM02686
0.95396	EHI01095	DM02321
71.68809	EHI02229	DM03546
63.00032	EHI02469	DM03479
21.4444	EHI00024	DM00931
11.08706	EHI02046	DM03050
48.14352	EHI00082	DM00029
81.96058	EHI00410	DM01068
59.79158	EHI01246	DM01787
31.09292	EHI01700	DM02729
23.01585	EHI00924	DM02174
85.99184	EHI01460	DM03297
0.41099	EHI01372	DM01743
5.74921	EHI02495	DM03515
79.71115	EHI01510	DM02104
70.78822	EHI00180	DM00746
81.23785	EHI00541	DM02777
41.36033	EHI01241	DM01796
69.6279	EHI00363	DM02060
42.88036	EHI00078	DM00018
70.88234	EHI01522	DM03354
77.26132	EHI01069	DM01105
70.14428	EHI00112	DM00762
83.3344	EHI01468	DM03224
90.0308	EHI01332	DM01337
2.34052	EHI01097	DM00898
NA	NA	DM00371
3.4e-4	EHI00062	DM02223
52.87078	EHI01604	DM02382
73.02634	EHI01518	DM03160
21.80654	EHI00731	DM00201
NA	NA	DM00349
80.43106	EHI01463	DM02071
83.31626	EHI01080	DM01363
76.24323	EHI00528	DM01085
28.53355	EHI00818	DM02357
1.90098	EHI00084	DM00025
69.78058	EHI00837	DM02452
79.74516	EHI01074	DM01117
35.42042	EHI02341	DM03448
80.35947	EHI00377	DM03323
0.75446	EHI01220	DM01152
NA	NA	DM00277
NA	NA	DM00325
74.87907	EHI02584	DM03782
NA	NA	DM00401
65.1209	EHI01367	DM03611
73.02383	EHI02273	DM03203
60.32812	EHI01404	DM03647
61.15661	EHI00105	DM00827
67.7094	EHI01992	DM03774
NA	NA	DM00422
82.0448	EHI00092	DM02806
66.8612	EHI00698	DM01694
NA	NA	DM00217
88.87972	EHI00409	DM01245
69.42093	EHI00103	DM02766
2.79477	EHI01140	DM02947
75.72173	EHI00117	DM00830
48.2191	EHI00562	DM02615
3.05436	EHI01091	DM01173
NA	NA	DM00231
57.07864	EHI02088	DM03015
71.69524	EHI00435	DM02735
15.91372	EHI00806	DM03361
NA	NA	DM00300
75.63653	EHI00180	DM02804
26.97743	EHI00199	DM02433
88.99301	EHI01323	DM01397
72.78198	EHI00473	DM00649
74.79979	EHI02609	DM03716
0.96617	EHI02103	DM03648
85.26365	EHI00536	DM02829
82.74464	EHI00417	DM01968
31.88169	EHI00035	DM00958
67.83978	EHI01343	DM01508
83.38729	EHI01473	DM02091
46.07978	EHI02074	DM03111
37.10759	EHI01106	DM00901
84.55639	EHI00276	DM01949
80.75243	EHI02303	DM03208
82.11861	EHI02032	DM03198
2.19727	EHI01132	DM02293
NA	EHI01409	DM01460
82.58161	EHI02027	DM03254
80.42483	EHI02031	DM03237
23.38683	EHI00685	DM00187
87.27039	EHI01487	DM02027
69.78058	EHI00837	DM02663
87.27039	EHI01487	DM03306
35.48023	EHI00216	DM01252
65.23373	EHI00124	DM02756
2.69262	EHI00803	DM02523
0.76159	EHI01129	DM02323
3.41348	EHI01649	DM02931
6.99047	EHI00783	DM02363
0.02869	EHI00079	DM00086
73.42263	EHI01986	DM02971
60.02663	EHI02119	DM03130
68.66743	EHI00073	DM00782
60.57231	EHI00867	DM02369
55.27134	EHI01966	DM02951
4.21997	EHI01657	DM02311
10.16333	EHI01642	DM01853
NA	EHI01408	DM01464
64.13907	EHI00840	DM02199
83.17847	EHI01071	DM01358
30.66708	EHI00013	DM01000
79.55161	EHI00235	DM02566
6.40435	EHI00187	DM01590
68.47976	EHI00567	DM02813
81.03097	EHI01058	DM00974
63.63838	EHI00687	DM00611
42.59051	EHI01360	DM02200
78.18794	EHI00413	DM01083
4.5e-4	EHI00046	DM02259
18.42948	EHI01170	DM01759
3.18172	EHI01614	DM03669
62.54863	EHI02059	DM03049
62.49992	EHI00230	DM02685
70.58967	EHI02076	DM03006
76.29903	EHI00852	DM02492
7.87814	EHI00043	DM00162
43.52537	EHI01139	DM01149
82.31871	EHI00161	DM02080
80.70888	EHI00405	DM01043
74.43793	EHI00693	DM01669
42.62441	EHI01196	DM00853
24.2692	EHI01110	DM00879
82.31871	EHI00161	DM03244
81.01954	EHI01467	DM01934
74.44425	EHI01698	DM02634
60.59778	EHI01046	DM01355
70.11708	EHI00420	DM01867
NA	NA	DM00233
55.47964	EHI02070	DM03068
79.15353	EHI02297	DM03195
65.67369	EHI01964	DM02981
20.98221	EHI02468	DM03372
64.86714	EHI00472	DM02760
54.04119	EHI01179	DM00697
NA	NA	DM00399
60.2901	EHI01184	DM02856
NA	NA	DM00407
44.9121	EHI00614	DM02605
76.15614	EHI00276	DM01274
NA	NA	DM00374
NA	NA	DM00326
35.29806	EHI01611	DM03729
79.16361	EHI00142	DM01963
84.02593	EHI02606	DM03705
56.65097	EHI01079	DM02181
0.15522	EHI00908	DM01638
0.13764	EHI00985	DM01563
7.46018	EHI00347	DM02349
NA	NA	DM00440
41.72386	EHI00560	DM02172
NA	NA	DM00240
71.13702	EHI00616	DM00590
10.20198	EHI00039	DM00946
67.80328	EHI01271	DM02589
75.66159	EHI00464	DM02770
22.73848	EHI00330	DM01284
83.57759	EHI02636	DM03685
26.39069	EHI00675	DM00195
NA	NA	DM00376
0	EHI00047	DM02256
17.22365	EHI00927	DM00465
65.43218	EHI02083	DM03084
69.48928	EHI02005	DM03288
81.72191	EHI00411	DM02059
68.79029	EHI01985	DM02957
74.58699	EHI01990	DM02973
83.47405	EHI00117	DM02753
85.84186	EHI00677	DM00615
87.05195	EHI01454	DM03256
56.96258	EHI02092	DM03057
89.50797	EHI00133	DM02749
80.89008	EHI00365	DM02089
11.31569	EHI01802	DM02902
50.21538	EHI01444	DM01838
67.09591	EHI00242	DM01285
16.94051	EHI00500	DM01650
90.0992	EHI00371	DM03270
44.61334	EHI00606	DM00528
62.49992	EHI00230	DM02649
62.40722	EHI01256	DM02581
50.69904	EHI00168	DM00990
76.29903	EHI00852	DM02691
75.36439	EHI01278	DM01749
2.0191	EHI01192	DM02928
74.05893	EHI00451	DM00656
63.88889	EHI02106	DM03140
62.15696	EHI01389	DM02517
65.33638	EHI00939	DM00569
15.88252	EHI00694	DM00165
6.58833	EHI01107	DM02924
81.80503	EHI00491	DM01066
0.03948	EHI00077	DM00091
63.90947	EHI01202	DM03470
83.3176	EHI00483	DM02814
69.51454	EHI01143	DM00856
4.29936	EHI00155	DM02241
85.03102	EHI01330	DM01408
1.61536	EHI01191	DM00836
54.04119	EHI01179	DM00721
76.07675	EHI01472	DM03268
1.03306	EHI01133	DM01130
NA	NA	DM02112
40.01603	EHI00912	DM01049
1.0813	EHI00847	DM02167
82.54234	EHI00400	DM00508
59.68306	EHI01377	DM02115
72.31723	EHI01441	DM03683
NA	EHI01218	DM01454
15.13878	EHI00599	DM01612
NA	NA	DM00290
33.38787	EHI00695	DM00182
3.91754	EHI00923	DM01571
1.38618	EHI01405	DM03666
66.96267	EHI01441	DM01821
0.85089	EHI01131	DM02309
49.93643	EHI01598	DM02600
83.21545	EHI01081	DM01361
7.4396	EHI00597	DM01562
0	EHI00065	DM02255
36.56895	EHI00463	DM00509
0.08541	EHI00311	DM02362
0.04355	EHI00575	DM01543
32.03963	EHI00201	DM01641
0.3938	EHI00083	DM00026
0.11233	EHI00613	DM01661
74.97426	EHI00481	DM00660
75.56415	EHI00250	DM03460
75.50343	EHI00072	DM00763
77.49241	EHI00077	DM02732
16.91946	EHI02542	DM03591
78.60741	EHI02635	DM03687
54.08312	EHI02621	DM03695
8.2e-4	EHI00060	DM02237
87.19101	EHI00587	DM01625
29.23839	EHI00014	DM00989
56.73908	EHI00831	DM02668
82.88527	EHI02616	DM03713
77.24725	EHI00541	DM00678
83.6031	EHI01554	DM01884
48.94046	EHI00361	DM01038
0.01254	EHI02099	DM03000
83.20773	EHI00385	DM01948
51.87345	EHI02101	DM03023
2.37238	EHI01148	DM01133
44.47789	EHI00984	DM02214
1.06361	EHI02532	DM03641
NA	NA	DM00294
35.10178	EHI00028	DM00941
49.98385	EHI01608	DM02378
NA	NA	DM00409
46.61213	EHI01174	DM00730
2.19744	EHI00264	DM03384
