Ex code,EX batch,Extract barcode,BB sample,Extraction Replicate,Coordinates,EX ng/ul,EX ul,EX DNA ng,EX Validation,Notes,Autonumber,Autonumber2,Number of libraries,Number good libraries,Number of indexed libraries,Libraries,LI (Library),Used ul,Remaining ul,Remaining ng,Species,Sampling date,Latitude reduced,Longitude reduced,Country,Biome,Environment,Type,Taxid,Common name,Development,Length (mm),Weight (g),Sex,Specimen,Number of sequenced datasets,Total data (GB),Host data (GB),Metagenomic data (GB),number_bins,BioProject,SE Batch,Purpose,IN (Indexing),Indexed libraries (from LI (Library)),Indexed libraries (from LI (Library)) 2,Collaborator(s) (from BB sample),BB Batch (from BB sample),ENA Sample accession,geographic location (region and locality),Ex type,Sequenced,Indexed,Libraried copy,Order
AAB74E1,EXB0002,LV1040375307,AAB74,E1,P025_1A,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",1,00001,1,1,0,"L1,AAC07E1L1",AAB74E1L1,24.0,21,0,Falco eleonorae,7/9/2020,29.398,-13.492,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,37.00,100.80,Unknown,SD00191,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,,,Laura Gangoso,BBB0002,SAMEA14374064,"Canary Island, Rapadura",DNA,0,0,1,Falconiformes
AAC07E1,EXB0002,LV1040375236,AAC07,E1,P025_1B,0.09,45,4,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",2,00002,2,2,2,,"AAC07E1L1,AAC07E1L2",48.0,-3,-0,Falco eleonorae,14/9/2020,29.415,-13.505,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,42.00,96.20,Unknown,SD00203,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC07E1L1I1, AAC07E1L1I2","AAC07E1L1I1, AAC07E1L1I2",Laura Gangoso,BBB0002,SAMEA14374078,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAB96E1,EXB0002,LV1040375248,AAB96,E1,P025_1C,0.85,45,38,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",3,00003,2,2,2,,"AAB96E1L1,AAB96E1L2",48.0,-3,-3,Falco eleonorae,10/9/2020,29.397,-13.494,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,66.00,170.40,Unknown,SD00199,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAB96E1L1I1, AAB96E1L1I2","AAB96E1L1I1, AAB96E1L1I2",Laura Gangoso,BBB0001,,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAB84E1,EXB0002,LV1040375260,AAB84,E1,P025_1D,2.06,45,93,Warning,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",4,00004,2,2,2,,"AAB84E1L1,AAB84E1L2",48.0,-3,-6,Falco eleonorae,8/9/2020,29.413,-13.513,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,45.00,135.00,Unknown,SD00200,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAB84E1L1I1, AAB84E1L1I2","AAB84E1L1I1, AAB84E1L1I2",Laura Gangoso,BBB0001,SAMEA14374073,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAB69E1,EXB0002,LV1040375272,AAB69,E1,P025_1E,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",47,00047,2,2,2,,"AAB69E1L1,AAB69E1L2",48.0,-3,0,Falco eleonorae,11/9/2020,29.413,-13.513,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,72.00,181.00,Unknown,SD00200,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAB69E1L1I1, AAB69E1L1I2","AAB69E1L1I1, AAB69E1L1I2",Laura Gangoso,BBB0001,SAMEA14374074,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAB64E1,EXB0002,LV1040375284,AAB64,E1,P025_1F,0.38,45,17,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",48,00048,2,2,2,,"AAB64E1L1,AAB64E1L2",48.0,-3,-1,Falco eleonorae,7/9/2020,29.397,-13.494,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,45.00,122.50,Unknown,SD00199,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAB64E1L1I1, AAB64E1L1I2","AAB64E1L1I1, AAB64E1L1I2",Laura Gangoso,BBB0001,SAMEA14374069,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAC55E1,EXB0002,LV1040375296,AAC55,E1,P025_1G,0.28,45,13,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",49,00049,2,2,2,,"AAC55E1L1,AAC55E1L2",48.0,-3,-1,Falco eleonorae,3/10/2020,29.413,-13.513,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,201.00,290.00,Unknown,SD00200,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC55E1L1I1, AAC55E1L1I2","AAC55E1L1I1, AAC55E1L1I2",Laura Gangoso,BBB0001,SAMEA14374077,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAD09E1,EXB0002,LV1040375308,AAD09,E1,P025_1H,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",50,00050,2,2,2,,"AAD09E1L1,AAD09E1L2",48.0,-3,0,Falco eleonorae,27/9/2020,29.415,-13.505,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,119.00,280.00,Unknown,SD00203,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAD09E1L1I1, AAD09E1L1I2","AAD09E1L1I1, AAD09E1L1I2",Laura Gangoso,BBB0001,,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAC14E1,EXB0002,LV1040375225,AAC14,E1,P025_2A,0.14,45,6,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",51,00051,2,2,2,,"AAC14E1L1,AAC14E1L2",48.0,-3,-0,Falco eleonorae,13/9/2020,29.398,-13.492,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,79.00,170.60,Unknown,SD00191,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC14E1L1I1, AAC14E1L1I2","AAC14E1L1I1, AAC14E1L1I2",Laura Gangoso,BBB0001,SAMEA14374066,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAC09E1,EXB0002,LV1040375237,AAC09,E1,P025_2B,1.35,45,61,Warning,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",52,00052,2,2,2,,"AAC09E1L1,AAC09E1L2",48.0,-3,-4,Falco eleonorae,16/9/2020,29.398,-13.492,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,99.00,158.60,Unknown,SD00191,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC09E1L1I1, AAC09E1L1I2","AAC09E1L1I1, AAC09E1L1I2",Laura Gangoso,BBB0001,SAMEA14374067,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAC40E1,EXB0002,LV1040375249,AAC40,E1,P025_2C,0.09,45,4,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",53,00053,2,2,2,,"AAC40E1L1,AAC40E1L2",48.0,-3,-0,Falco eleonorae,20/9/2020,29.415,-13.505,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,68.00,94.80,Unknown,SD00203,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC40E1L1I1, AAC40E1L1I2","AAC40E1L1I1, AAC40E1L1I2",Laura Gangoso,BBB0001,SAMEA14374080,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAC21E1,EXB0002,LV1040375261,AAC21,E1,P025_2D,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",54,00054,2,2,2,,"AAC21E1L1,AAC21E1L2",48.0,-3,0,Falco eleonorae,19/9/2020,29.398,-13.492,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,122.00,138.20,Unknown,SD00191,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC21E1L1I1, AAC21E1L1I2","AAC21E1L1I1, AAC21E1L1I2",Laura Gangoso,BBB0001,SAMEA14374068,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAC33E1,EXB0002,LV1040375273,AAC33,E1,P025_2E,34.80,45,1566,OK,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",55,00055,2,2,2,,"AAC33E1L1,AAC33E1L2",22.0,23,800,Falco eleonorae,17/9/2020,29.415,-13.505,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,62.00,105.00,Unknown,SD00203,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC33E1L1I1, AAC33E1L1I2","AAC33E1L1I1, AAC33E1L1I2",Laura Gangoso,BBB0001,SAMEA14374079,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAC26E1,EXB0002,LV1040375285,AAC26,E1,P025_2F,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",56,00056,2,2,2,,"AAC26E1L1,AAC26E1L2",48.0,-3,0,Falco eleonorae,16/9/2020,29.397,-13.494,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,115.00,169.40,Unknown,SD00199,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC26E1L1I1, AAC26E1L1I2","AAC26E1L1I1, AAC26E1L1I2",Laura Gangoso,BBB0001,SAMEA14374071,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAC06E1,EXB0002,LV1040375297,AAC06,E1,P025_2G,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",57,00057,2,2,2,,"AAC06E1L1,AAC06E1L2",48.0,-3,0,Falco eleonorae,14/9/2020,29.413,-13.513,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,97.00,183.00,Unknown,SD00200,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC06E1L1I1, AAC06E1L1I2","AAC06E1L1I1, AAC06E1L1I2",Laura Gangoso,BBB0001,SAMEA14374075,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAB78E1,EXB0002,LV1040375309,AAB78,E1,P025_2H,0.07,45,3,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",58,00058,2,2,2,,"AAB78E1L1,AAB78E1L2",48.0,-3,-0,Falco eleonorae,10/9/2020,29.398,-13.492,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,60.00,160.80,Unknown,SD00191,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAB78E1L1I1, AAB78E1L1I2","AAB78E1L1I1, AAB78E1L1I2",Laura Gangoso,BBB0001,SAMEA14374065,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAC79E1,EXB0002,LV1040375226,AAC79,E1,P025_3A,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",59,00059,2,2,2,,"AAC79E1L1,AAC79E1L2",48.0,-3,0,Falco eleonorae,3/10/2020,29.415,-13.505,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,167.00,310.00,Unknown,SD00203,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC79E1L1I1, AAC79E1L1I2","AAC79E1L1I1, AAC79E1L1I2",Laura Gangoso,BBB0001,SAMEA14374081,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAC15E1,EXB0002,LV1040375238,AAC15,E1,P025_3B,0.07,45,3,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",60,00060,2,2,2,,"AAC15E1L1,AAC15E1L2",48.0,-3,-0,Falco eleonorae,13/9/2020,29.397,-13.494,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,90.00,183.20,Unknown,SD00199,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC15E1L1I1, AAC15E1L1I2","AAC15E1L1I1, AAC15E1L1I2",Laura Gangoso,BBB0001,SAMEA14374070,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAC28E1,EXB0002,LV1040375250,AAC28,E1,P025_3C,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",61,00061,2,2,2,,"AAC28E1L1,AAC28E1L2",48.0,-3,0,Falco eleonorae,17/9/2020,29.413,-13.513,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,118.00,185.00,Unknown,SD00200,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC28E1L1I1, AAC28E1L1I2","AAC28E1L1I1, AAC28E1L1I2",Laura Gangoso,BBB0001,SAMEA14374076,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAC36E1,EXB0002,LV1040375262,AAC36,E1,P025_3D,0.13,45,6,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",62,00062,2,2,2,,"AAC36E1L1,AAC36E1L2",48.0,-3,-0,Falco eleonorae,19/9/2020,29.397,-13.494,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,123.00,175.60,Unknown,SD00199,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC36E1L1I1, AAC36E1L1I2","AAC36E1L1I1, AAC36E1L1I2",Laura Gangoso,BBB0001,SAMEA14374072,"Canary Island, Rapadura",DNA,0,1,1,Falconiformes
AAW10E1,EXB0002,LV1040375274,AAW10,E1,P025_3E,3.05,45,137,Warning,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",63,00063,2,2,2,,"AAW10E1L1,AAW10E1L2",48.0,-3,-9,Psittacula echo,10/2/2021,-20.380,57.447,Mauritius,1001803 - Tropical forest,Forest clearing,Faecal,232653,Echo parakeet ,Juvenile,,,Unknown,SD00173,0,0.00,0.000,0.00,0,PRJEB51866,,metagenome,,"AAW10E1L1I1, AAW10E1L1I2","AAW10E1L1I1, AAW10E1L1I2",Jim Groombridge,BBB0003,SAMEA14374046,"Grand Gauges, Camp aviary",DNA,0,1,1,Psittaciformes
AAW16E1,EXB0002,LV1040375286,AAW16,E1,P025_3F,22.90,45,1031,OK,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",64,00064,2,2,2,,"AAW16E1L1,AAW16E1L2",34.0,11,252,Psittacula echo,12/1/2021,-20.453,57.424,Mauritius,1001803 - Tropical forest,Forest,Faecal,232653,Echo parakeet ,Adult,,,Unknown,SD00179,0,0.00,0.000,0.00,0,PRJEB51866,,metagenome,,"AAW16E1L1I1, AAW16E1L1I2","AAW16E1L1I1, AAW16E1L1I2",Jim Groombridge,BBB0003,SAMEA14374052,"Bel Ombre, Crackhammer",DNA,0,1,1,Psittaciformes
C1_EXB0002E1,EXB0002,LV1040375298,C1_EXB0002,E1,P025_3G,0.00,45,0,Error,"Beads wouldn't attach to magnet, possibly due to inhibitors in the sample. Beads were lost throughout the protocol and some were transferred to the storage plate despite using an intermittent plate that was placed on the magnet",65,00065,2,2,2,,"C1_EXB0002E1L1,C1_EXB0002E1L2",48.0,-3,0,,,,,,,,,,,,,,,,0,0.00,0.000,0.00,0,,,unknown,,"C1_EXB0002E1L1I1, C1_EXB0002E1L1I2","C1_EXB0002E1L1I1, C1_EXB0002E1L1I2",,,,,DNA,0,1,1,
AAD12E1,EXB0001,LV1040375228,AAD12,E1,P025_4A,0.12,45,5,Error,,66,00066,1,1,2,,AAD12E1L1,24.0,21,2,Falco eleonorae,27/9/2020,29.414,-13.510,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,219.00,387.50,Unknown,SD00225,1,3.30,2.878,0.00,0,PRJEB51865,SEB001,metagenome,,"AAD12E1L1I1, AAD12E1L1I2","AAD12E1L1I1, AAD12E1L1I2",Laura Gangoso,BBB0001,SAMEA14374088,"Canary Island, Norte",DNA,1,1,1,Falconiformes
AAC83E2,EXB0001,LV1040375303,AAC83,E2,P025_4B,0.40,17,7,Error,,67,00067,1,1,2,,AAC83E2L1,24.0,-7,-3,Falco eleonorae,27/9/2020,29.412,-13.499,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,211.00,420.00,Unknown,SD00216,1,3.46,3.204,0.00,0,PRJEB51865,SEB001,metagenome,,"AAC83E2L1I1, AAC83E2L1I2","AAC83E2L1I1, AAC83E2L1I2",Laura Gangoso,BBB0001,SAMEA14374086,"Canary Island, Norte",DNA,1,1,1,Falconiformes
AD81E1,EXB0001,LV1040375315,AD81,E1,P025_4C,0.50,45,23,Error,,68,00068,1,1,2,,AD81E1L1,24.0,21,11,Falco eleonorae,29/9/2020,29.395,-13.499,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,229.00,415.00,Unknown,SD00253,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AD81E1L1I1, AD81E1L1I2","AD81E1L1I1, AD81E1L1I2",Laura Gangoso,BBB0001,,"Canary Island, Lobos",DNA,0,1,1,Falconiformes
AAD16E2,EXB0001,LV1040375256,AAD16,E2,P025_4D,0.25,17,4,Error,,69,00069,1,1,2,,AAD16E2L1,24.0,-7,-2,Falco eleonorae,27/9/2020,29.414,-13.509,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,239.00,450.00,Unknown,SD00228,1,3.61,3.241,0.00,0,PRJEB51865,SEB001,metagenome,,"AAD16E2L1I1, AAD16E2L1I2","AAD16E2L1I1, AAD16E2L1I2",Laura Gangoso,BBB0001,SAMEA14374089,"Canary Island, Norte",DNA,1,1,1,Falconiformes
AAC94E1,EXB0001,LV1040375258,AAC94,E1,P025_4E,59.00,45,2655,OK,,70,00070,1,1,2,,AAC94E1L1,6.0,39,2301,Falco eleonorae,27/9/2020,29.414,-13.511,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,243.00,360.00,Unknown,SD00223,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,"AAC94E1L1I1, AAC94E1L1I2","AAC94E1L1I1, AAC94E1L1I2",Laura Gangoso,BBB0001,,"Canary Island, Norte",DNA,0,1,1,Falconiformes
AAD16E1,EXB0001,LV1040375269,AAD16,E1,P025_4F,0.09,45,4,Error,,71,00071,1,1,2,,AAD16E1L1,24.0,21,2,Falco eleonorae,27/9/2020,29.414,-13.509,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,239.00,450.00,Unknown,SD00228,1,2.39,2.142,0.00,0,PRJEB51865,SEB001,metagenome,,"AAD16E1L1I1, AAD16E1L1I2","AAD16E1L1I1, AAD16E1L1I2",Laura Gangoso,BBB0001,SAMEA14374089,"Canary Island, Norte",DNA,1,1,1,Falconiformes
AAC86E2,EXB0001,LV1040375289,AAC86,E2,P025_4G,48.40,17,823,OK,,72,00072,1,1,1,,AAC86E2L1,8.0,9,436,Falco eleonorae,27/9/2020,29.414,-13.509,Spain,1000048 - Ocean,Island,Anal/cloacal swab,495946,Eleonora's falcon ,Juvenile,230.00,430.00,Unknown,SD00229,0,0.00,0.000,0.00,0,PRJEB51865,,metagenome,,AAC86E2L1I1,AAC86E2L1I1,Laura Gangoso,BBB0001,,"Canary Island, Norte",DNA,0,1,1,Falconiformes
