LI Code,LI Batch,Library barcode,Sample,EX Sample,Library replicate,Coordinates,Purpose,Input volume,Input DNA (ng),EX concentration (ng/ul),Adaptor nM,Required PCR cycles,Adaptor dimers,Notes,Indexed libraries,Number of indexed libraries,Sequencing datasets,Autonumber,Autonumber2,IN (Indexing),EX (Extraction),QPCR QC,Sampling date,Latitude reduced,Longitude reduced,Country,Biome,Environment,Type,Species,Taxid,Common name,Development,Length (mm),Weight (g),Sex,Specimen,Number of sequencing datasets,Total data (GB),Host data (GB),Metagenomic data (GB),number_bins,BioProject,SE Batch,Sample Batch,IN Code (from IN (Indexing)),ENA Sample accession,IN batch (from IN (Indexing)),collaborator,geographic location (region and locality),Sample Batch 2,QualityControlGroup,QC - Library qPCR based,Indexed,Sequenced,Order,PCR group
AAD12E1L1,LIB0001,LV1040375131,AAD12,AAD12E1,L1,P027_4A,metagenome,24.0,2.8,0.12,10,14,,"Gels not run
","AAD12E1L1I1, AAD12E1L1I2",2,EHI00050,24,00024,"AAD12E1L1I1,AAD12E1L1I2",,,27/9/2020,29.414,-13.510,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,219.00,387.50,Unknown,SD00225,1,3.30,2.878,0.00,0,PRJEB51865,SEB001,,"AAD12E1L1I1, AAD12E1L1I2",SAMEA14374088,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
AAC83E2L1,LIB0001,LV1040375143,AAC83,AAC83E2,L1,P027_4B,metagenome,24.0,9.6,0.40,10,14,,"Gels not run
","AAC83E2L1I1, AAC83E2L1I2",2,EHI00051,25,00025,"AAC83E2L1I1,AAC83E2L1I2",,,27/9/2020,29.412,-13.499,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,211.00,420.00,Unknown,SD00216,1,3.46,3.204,0.00,0,PRJEB51865,SEB001,,"AAC83E2L1I1, AAC83E2L1I2",SAMEA14374086,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
AD81E1L1,LIB0001,LV1040375155,AD81,AD81E1,L1,P027_4C,metagenome,24.0,12.0,0.50,10,14,,"Gels not run
","AD81E1L1I1, AD81E1L1I2",2,,26,00026,"AD81E1L1I1,AD81E1L1I2",,,29/9/2020,29.395,-13.499,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,229.00,415.00,Unknown,SD00253,0,0.00,0.000,0.00,0,PRJEB51865,,,"AD81E1L1I1, AD81E1L1I2",,"INB0010,INB0015",Laura Gangoso,"Canary Island, Lobos",,Group8,Pass,1,0,Falconiformes,16
AAD12E2L1,LIB0001,LV1040375182,AAD12,AAD12E2,L1,P027_7E,metagenome,24.0,4.8,0.20,10,16,,"Gels not run
","AAD12E2L1I1, AAD12E2L1I2",2,EHI00046,84,00084,"AAD12E2L1I1,AAD12E2L1I2",,,27/9/2020,29.414,-13.510,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,219.00,387.50,Unknown,SD00225,1,2.41,2.163,0.00,0,PRJEB51865,SEB001,,"AAD12E2L1I1, AAD12E2L1I2",SAMEA14374088,"INB0010,INB0011",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
C2_EXB0001E1L1,LIB0001,LV1040375172,C2_EXB0001,C2_EXB0001E1,L1,P027_9D,unknown,0.0,0.0,0.00,10,20,,"This is a control, C1_LIB0001, created in the Library Batch LIB0001. Gels not run

",C2_EXB0001E1L1I1,1,,99,00099,C2_EXB0001E1L1I1,,,,,,,,,,,,,,,,,,0,0.00,0.000,0.00,0,,,,C2_EXB0001E1L1I1,,INB0010,,,,Group8,Fail,1,0,,20
AD74E2L1,LIB0001,LV1040375215,AD74,AD74E2,L1,P027_4H,metagenome,24.0,4.3,0.18,10,14,,"Gels not run
","AD74E2L1I1, AD74E2L1I2",2,EHI00054,63,00063,"AD74E2L1I1,AD74E2L1I2",,,29/9/2020,29.393,-13.500,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,223.00,430.00,Unknown,SD00257,1,4.32,3.866,0.00,0,PRJEB51865,SEB001,,"AD74E2L1I1, AD74E2L1I2",SAMEA14374092,"INB0010,INB0015",Laura Gangoso,"Canary Island, Lobos",,Group8,Pass,1,1,Falconiformes,16
AD79E2L1,LIB0001,LV1040375183,AD79,AD79E2,L1,P027_8E,metagenome,24.0,25.2,1.05,10,12,,"Gels not run
","AD79E2L1I1, AD79E2L1I2",2,EHI00064,92,00092,"AD79E2L1I1,AD79E2L1I2",,,29/9/2020,29.394,-13.500,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,259.00,415.00,Unknown,SD00254,1,3.29,2.874,0.00,0,PRJEB51865,SEB001,,"AD79E2L1I1, AD79E2L1I2",SAMEA14374091,"INB0010,INB0015",Laura Gangoso,"Canary Island, Lobos",,Group7,Pass,1,1,Falconiformes,13
AAD23E1L1,LIB0001,LV1040375157,AAD23,AAD23E1,L1,P027_6C,metagenome,24.0,132.0,5.50,20,20,,"Gels not run
","AAD23E1L1I1, AAD23E1L1I2",2,,74,00074,"AAD23E1L1I1,AAD23E1L1I2",,,27/9/2020,29.413,-13.514,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,220.00,405.00,Unknown,SD00213,0,0.00,0.000,0.00,0,PRJEB51865,,,"AAD23E1L1I1, AAD23E1L1I2",,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group3,Fail,1,0,Falconiformes,20
AAC96E2L1,LIB0001,LV1040375192,AAC96,AAC96E2,L1,P027_5F,metagenome,24.0,6.0,0.25,10,14,,"Gels not run
","AAC96E2L1I1, AAC96E2L1I2",2,EHI00058,69,00069,"AAC96E2L1I1,AAC96E2L1I2",,,27/9/2020,29.414,-13.508,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,194.00,350.00,Unknown,SD00205,1,2.11,1.957,0.00,0,PRJEB51865,SEB001,,"AAC96E2L1I1, AAC96E2L1I2",SAMEA14374083,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
AAD15E2L1,LIB0001,LV1040375216,AAD15,AAD15E2,L1,P027_5H,metagenome,24.0,0.0,0.00,10,16,,"Gels not run
","AAD15E2L1I1, AAD15E2L1I2",2,,71,00071,"AAD15E2L1I1,AAD15E2L1I2",,,27/9/2020,29.414,-13.511,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,231.00,375.00,Unknown,SD00224,0,0.00,0.000,0.00,0,PRJEB51865,,,"AAD15E2L1I1, AAD15E2L1I2",,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,0,Falconiformes,16
