"extraction_id","extraction_batch","extraction_concentration","extraction_volume","extraction_total","sample_id"
"AAB74E1","EXB0002",0,45,0,"AAB74"
"AAC07E1","EXB0002",0.09,45,4,"AAC07"
"AAB96E1","EXB0002",0.85,45,38,"AAB96"
"AAB84E1","EXB0002",2.06,45,93,"AAB84"
"AAB69E1","EXB0002",0,45,0,"AAB69"
"AAB64E1","EXB0002",0.38,45,17,"AAB64"
"AAC55E1","EXB0002",0.28,45,13,"AAC55"
"AAD09E1","EXB0002",0,45,0,"AAD09"
"AAC14E1","EXB0002",0.14,45,6,"AAC14"
"AAC09E1","EXB0002",1.35,45,61,"AAC09"
"AAC40E1","EXB0002",0.09,45,4,"AAC40"
"AAC21E1","EXB0002",0,45,0,"AAC21"
"AAC33E1","EXB0002",34.8,45,1566,"AAC33"
"AAC26E1","EXB0002",0,45,0,"AAC26"
"AAC06E1","EXB0002",0,45,0,"AAC06"
"AAB78E1","EXB0002",0.07,45,3,"AAB78"
"AAC79E1","EXB0002",0,45,0,"AAC79"
"AAC15E1","EXB0002",0.07,45,3,"AAC15"
"AAC28E1","EXB0002",0,45,0,"AAC28"
"AAC36E1","EXB0002",0.13,45,6,"AAC36"
"AAW10E1","EXB0002",3.05,45,137,"AAW10"
"AAW16E1","EXB0002",22.9,45,1031,"AAW16"
"C1_EXB0002E1","EXB0002",0,45,0,"C1_EXB0002"
"AAD12E1","EXB0001",0.12,45,5,"AAD12"
"AAC83E2","EXB0001",0.4,17,7,"AAC83"
"AD81E1","EXB0001",0.5,45,23,"AD81"
"AAD16E2","EXB0001",0.25,17,4,"AAD16"
"AAC94E1","EXB0001",59,45,2655,"AAC94"
"AAD16E1","EXB0001",0.09,45,4,"AAD16"
"AAC86E2","EXB0001",48.4,17,823,"AAC86"
"AD74E2","EXB0001",0.18,17,3,"AD74"
"AAC62E1","EXB0001",1.49,45,67,"AAC62"
"AAD10E2","EXB0001",150,17,2550,"AAD10"
"AAB85E1","EXB0001",0.19,45,9,"AAB85"
"AAC86E1","EXB0001",35,45,1575,"AAC86"
"AAD23E2","EXB0001",23,17,391,"AAD23"
"AAC96E2","EXB0001",0.25,17,4,"AAC96"
"AD85E1","EXB0001",7.74,45,348,"AD85"
"AAD15E2","EXB0001",0,17,0,"AAD15"
"AD89E1","EXB0001",5.9,45,266,"AD89"
"AD89E2","EXB0001",5.5,17,94,"AD89"
"AAD23E1","EXB0001",5.5,45,248,"AAD23"
"AAD15E1","EXB0001",0.93,45,42,"AAD15"
"AAC46E1","EXB0001",5.24,45,236,"AAC46"
"C1_EXB0001E1","EXB0001",0,45,0,"C1_EXB0001"
"AD84E2","EXB0001",1.83,17,31,"AD84"
"AD85E2","EXB0001",6.93,17,118,"AD85"
"AAC83E1","EXB0001",0.07,45,3,"AAC83"
"AAC62E2","EXB0001",0.06,17,1,"AAC62"
"AAC91E1","EXB0001",2.4,45,108,"AAC91"
"AAC71E1","EXB0001",3.31,45,149,"AAC71"
"AAD12E2","EXB0001",0.2,17,3,"AAD12"
"AD84E1","EXB0001",1.58,45,71,"AD84"
"AAC91E2","EXB0001",2.7,17,46,"AAC91"
"AAD25E2","EXB0001",7.94,17,135,"AAD25"
"AD79E1","EXB0001",3.47,45,156,"AD79"
"AAB85E2","EXB0001",0.12,17,2,"AAB85"
"AAC71E2","EXB0001",3.25,17,55,"AAC71"
"AAC94E2","EXB0001",9.65,17,164,"AAC94"
"AD79E2","EXB0001",1.05,17,18,"AD79"
"AD74E1","EXB0001",5.33,45,240,"AD74"
"AAD25E1","EXB0001",6.09,45,274,"AAD25"
"AAC46E2","EXB0001",0,17,0,"AAC46"
"AAD10E1","EXB0001",6.03,45,271,"AAD10"
"AAC96E1","EXB0001",0.14,45,6,"AAC96"
"AD81E2","EXB0001",0,17,0,"AD81"
"C2_EXB0001E1","EXB0001",0,45,0,"C2_EXB0001"
"AFU62E1","EXB0034",6.46,45,291,"AFU62"
"ABU49E1","EXB0017",0,45,0,"ABU49"
"ABT47E1","EXB0017",0.06,45,3,"ABT47"
"ABT33E1","EXB0017",0.06,45,3,"ABT33"
"ABT43E1","EXB0017",0,45,0,"ABT43"
"ABT11E1","EXB0017",7.1,45,320,"ABT11"
"ABT13E1","EXB0017",0.17,45,8,"ABT13"
"ABT15E1","EXB0017",9.39,45,423,"ABT15"
"ABT86E1","EXB0017",0.73,45,33,"ABT86"
"C1_EXB0017E1","EXB0017",0,45,0,"C1_EXB0017"
"AFU71E1","EXB0034",13.4,45,603,"AFU71"
"AFU73E1","EXB0034",2.6,45,117,"AFU73"
"AFU74E1","EXB0034",13.2,45,594,"AFU74"
"AFU75E1","EXB0034",0,45,0,"AFU75"
