"library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required"
"AAD12E1L1","LIB0001","AAD12","AAD12E1","EHI00050",24,2.8,0.12,10,14
"AAC83E2L1","LIB0001","AAC83","AAC83E2","EHI00051",24,9.6,0.4,10,14
"AD81E1L1","LIB0001","AD81","AD81E1","",24,12,0.5,10,14
"AAD12E2L1","LIB0001","AAD12","AAD12E2","EHI00046",24,4.8,0.2,10,16
"C2_EXB0001E1L1","LIB0001","C2_EXB0001","C2_EXB0001E1","",0,0,0,10,20
"AD74E2L1","LIB0001","AD74","AD74E2","EHI00054",24,4.3,0.18,10,14
"AD79E2L1","LIB0001","AD79","AD79E2","EHI00064",24,25.2,1.05,10,12
"AAD23E1L1","LIB0001","AAD23","AAD23E1","",24,132,5.5,20,20
"AAC96E2L1","LIB0001","AAC96","AAC96E2","EHI00058",24,6,0.25,10,14
"AAD15E2L1","LIB0001","AAD15","AAD15E2","",24,0,0,10,16
"C1_EXB0001E1L1","LIB0001","C1_EXB0001","C1_EXB0001E1","",24,0,0,10,20
"AD85E2L1","LIB0001","AD85","AD85E2","EHI00060",24,166.3,6.93,20,12
"AD74E1L1","LIB0001","AD74","AD74E1","EHI00065",24,127.9,5.33,20,10
"AAC94E2L1","LIB0001","AAC94","AAC94E2","",24,231.6,9.65,20,10
"AAC46E1L1","LIB0001","AAC46","AAC46E1","",24,125.8,5.24,20,20
"AAC91E2L1","LIB0001","AAC91","AAC91E2","EHI00047",24,64.8,2.7,20,16
"AAD16E2L1","LIB0001","AAD16","AAD16E2","EHI00052",24,6,0.25,10,14
"AAD15E1L1","LIB0001","AAD15","AAD15E1","",24,22.3,0.93,10,20
"AAD25E1L1","LIB0001","AAD25","AAD25E1","EHI00066",24,146.2,6.09,20,16
"AAC96E1L1","LIB0001","AAC96","AAC96E1","EHI00068",24,3.4,0.14,10,16
"AD84E2L1","LIB0001","AD84","AD84E2","",24,43.9,1.83,20,20
"AAC94E1L1","LIB0001","AAC94","AAC94E1","",6,354,59,50,10
"AD89E2L1","LIB0001","AD89","AD89E2","",24,132,5.5,20,20
"AAC62E2L1","LIB0001","AAC62","AAC62E2","EHI00062",24,1.4,0.06,10,16
"AAB85E1L1","LIB0001","AAB85","AAB85E1","EHI00057",24,4.6,0.19,10,16
"AAC86E2L1","LIB0001","AAC86","AAC86E2","",8,387.2,48.4,50,8
"AAD25E2L1","LIB0001","AAD25","AAD25E2","EHI00048",24,190.6,7.94,20,10
"AAD16E1L1","LIB0001","AAD16","AAD16E1","EHI00053",24,2.2,0.09,10,18
"AAD10E1L1","LIB0001","AAD10","AAD10E1","EHI00067",24,144.7,6.03,20,10
"AD79E1L1","LIB0001","AD79","AD79E1","EHI00049",24,83.3,3.47,20,12
"AD85E1L1","LIB0001","AD85","AD85E1","EHI00059",24,185.8,7.74,20,8
