"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage"
"1","PR00678","PRB0001","EHI00001","ABK09E1L1I1","Podarcis muralis","Same",18702252,18110376,2805337800,2646211769,2252102,72189794,16647206,0,2646211769,0,"0%",0
"2","PR00679","PRB0001","EHI00002","ABI46E1L1I1","Podarcis muralis","Same",10466930,10170866,1570039500,1429792367,2620495,100430744,248692,1394358496,35433871,586596584,"42%",0.6855
"3","PR00680","PRB0001","EHI00003","ABI47E1L1I1","Podarcis muralis","Same",23853572,23112074,3578035800,3340532048,3738709,131565555,21258102,0,3340532048,0,"0%",0
"4","PR00681","PRB0001","EHI00004","ABK09E2L1I1","Podarcis muralis","Same",21409426,20604016,3211413900,2984989629,3187529,109956239,19008098,0,2984989629,0,"0%",0
"5","PR00682","PRB0001","EHI00005","ABK57E1L1I1","Podarcis muralis","Same",18085674,17495340,2712851100,2521862915,2996207,108481218,231998,2486913034,34949881,1436491868,"58%",0.7634
"6","PR00683","PRB0001","EHI00069","ABJ89E1L1I1","Podarcis muralis","Same",54815378,50833530,8222306700,7078154570,14997270,698060334,6240810,6157621999,920532571,3221200903,"52%",0.9099
"7","PR00684","PRB0001","EHI00070","ABL39E1L1I1","Podarcis muralis","Same",24281468,23656378,3642220200,3407328319,4200389,147983781,6290518,2469728439,937599880,1313578725,"53%",0.792
"8","PR00685","PRB0001","EHI00072","ABK12E1L1I1","Podarcis muralis","Same",36292666,35265772,5443899900,5072190947,6533805,228938109,527460,4993871498,78319449,3045059797,"61%",0.8605
"9","PR00686","PRB0001","EHI00073","ABL01E1L1I1","Podarcis muralis","Same",17659664,17296132,2648949600,2498473362,2826584,101578161,50116,2491173198,7300164,1434907637,"58%",0.7776
"10","PR00687","PRB0001","EHI00074","ABL51E1L1I1","Podarcis muralis","Same",54319736,52990138,8147960400,7577932855,10738062,396878136,242334,7543261506,34671349,4255058357,"56%",0.8848
"11","PR00688","PRB0001","EHI00075","ABK18E1L1I1","Podarcis muralis","Same",27761050,26811026,4164157500,3893937036,3810225,135306522,2898518,3449546649,444390387,2082382555,"60%",0.8448
"12","PR00689","PRB0001","EHI00076","ABI40E1L1I1","Podarcis muralis","Same",37817906,37084126,5672685900,5337631223,6604876,240049556,540936,5256239320,81391903,3236813130,"62%",0.9222
"13","PR00690","PRB0001","EHI00077","ABL45E1L1I1","Podarcis muralis","Same",17069218,16764914,2560382700,2425033217,2710059,94504800,4283760,1783262590,641770627,1107916777,"62%",0.7719
"14","PR00691","PRB0001","EHI00079","ABL19E1L1I1","Podarcis muralis","Same",29550864,28540588,4432629600,4094839007,5585349,199028908,18228964,1373801946,2721037061,641550644,"47%",0.7107
"15","PR00692","PRB0001","EHI00080","ABL37E1L1I1","Podarcis muralis","Same",49225742,47196770,7383861300,6654664880,11828393,471855084,10724514,5049477727,1605187153,2266915570,"45%",0.8266
"16","PR00693","PRB0001","EHI00081","ABK88E1L1I1","Podarcis muralis","Same",18955172,18098526,2843275800,2624857793,2631304,98455036,4787646,1897409703,727448090,996753151,"53%",0.7867
"17","PR00694","PRB0001","EHI00085","ABL25E1L1I1","Podarcis muralis","Same",19580084,18818378,2937012600,2707003928,3370809,123867421,1445814,2494742094,212261834,1440094037,"58%",0.8842
"18","PR00695","PRB0001","EHI00086","ABK90E1L1I1","Podarcis muralis","Same",23905550,22681308,3585832500,3238714910,4640598,184890777,2767528,2821121298,417593612,1472589954,"52%",0.8424
"19","PR00696","PRB0001","EHI00088","ABK71E1L1I1","Podarcis muralis","Same",25795800,25127798,3869370000,3641503731,3761769,134693905,476216,3569734521,71769210,2347788681,"66%",0.8893
"20","PR00697","PRB0001","EHI00089","ABI56E1L1I1","Podarcis muralis","Same",17893358,17349180,2684003700,2508812734,2725687,99611634,233090,2473897563,34915171,1473981993,"60%",0.8756
"21","PR00698","PRB0002","EHI00091","ABI58E1L1I1","Podarcis muralis","Same",25401916,24634366,3810287400,3548012908,4197377,158908092,1582390,3317973426,230039482,1901581692,"57%",0.8564
"22","PR00699","PRB0002","EHI00092","ABJ91E1L1I1","Podarcis muralis","Same",43375542,42256660,6506331300,6114558933,6619689,239621938,1144520,5943716483,170842450,4396253715,"74%",0.9665
