metagenomic_bases	nonpareil_coverage	preprocessing_id	host_bases	reference_closenees	sequence_id	reads_pre_fastp	reads_post_fastp	bases_pre_fastp	bases_post_fastp	adapter_trimmed_reads	adapter_trimmed_bases	host_reads	singlem_fraction	host_duplicate_fraction	reference_id	sample_id
1221769093	0.740893401514518	PR02998	3353742938	Same	EHI02302	32798534	31956200	4919780100	4575512031	7084040	226835811	23363012	0.5352	0.217215	G0008	AEU35
0	0	PR01625	2724773161	Same	EHI01042	19528568	19143704	2929285200	2724773161	4184609	156393970	18897596	0	NA	G0008	ADD84
11429117668	0.955112177365162	PR00788	180662818	Same	EHI00490	81554702	79969084	12233205300	11609780486	11640349	406944310	1186806	0.5852	NA	G0001	ADM31
6683205784	0.896172231471275	PR01230	79219620	Same	EHI00485	48750268	47307350	7312540200	6762425404	9382671	382225749	551954	0.1432	NA	G0032	OPAU32
1210929414	0.732718453363497	PR03215	642074328	Other	EHI02563	13496444	12805348	2024466600	1853003742	2857630	92675261	4242468	0.5895	0.348509	G0070	AHO04
2603071706	0.794739736429969	PR00921	7025265742	Same	EHI00453	70260812	68383464	10539121800	9628337448	17136260	677399893	49394390	0.5938	NA	G0008	ADD90
5281080602	0.887172277219918	PR03299	243149	Other	EHI02584	36629754	35758798	5494463100	5281323751	3230484	83736069	1328	0.7418	0.026786	G0047	AJP53
2777435707	0.810948998460283	PR02479	407994682	Same	EHI01662	22547442	21674946	3382116300	3185430389	2442906	72339663	2712849	0.1011	0.133151	G0071	ACO91
3838559894	0.848347312847385	PR02927	1194106074	Same	EHI02229	35215064	34233872	5282259600	5032665968	3906329	107017850	7962551	0.6457999999999999	0.082887	G0017	AFZ43
0	0.754402563645373	PR01674	5220964600	Same	EHI01021	36739612	36085588	5510941800	5220964600	6101620	196870412	34207508	0	NA	G0032	ADA16
1065270506	0.953643155444096	PR02481	2310882	Same	EHI01664	7750798	7437336	1162619700	1067581388	1592734	53624139	16621	0.6915	0.062943	G0071	ACB47
2613077645	0.760651523858624	PR01721	32953128	Same	EHI00932	18604748	18177726	2790712200	2646030773	2510278	83407275	226342	0.5549000000000001	NA	G0043	AAN19
12150233898	0.912809998660573	PR03083	1220861954	Other	EHI02357	93133092	91395310	13969963800	13371095852	12659407	340120960	7244140	0.4557	0.073104	G0079	ADM39
5082289912	0.857691015819323	PR02380	179509669	Same	EHI01465	36286730	35418064	5443009500	5261799581	1974899	53970046	1210793	0.728	0.235407	G0002	AAV06
3416429898	0.834959765141371	PR00854	967409363	Same	EHI00399	30390084	29929518	4558512600	4383839261	3380744	110467856	6518940	0.6827	NA	G0002	AEL51
