sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACH41	SaronnoScuolaElementare	51	21.6	SD01715	Vespertilionidae	Eptesicus serotinus	1000221 - Temperate woodland	parklike habitat	Adult	Female	45.62	9.04	recrACkHppgdXdQse	Chiroptera	Mammalia	SD0171501	Bats
Faecal	Animal	< 30 minutes	< 14 days	AAH53	Fou de Bor	46.1	6.7	SD00034	Vespertilionidae	Myotis crypticus	1000221 - Temperate woodland	Cave	Adult	Male	42.34	1.8	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0003401	Bats
Faecal	Animal	< 1 minute	< 1 day	AFU99	NA	61	5.79	SD03779	Lacertidae	Podarcis muralis	1000198 - Mixed forest	NA	Adult	Male	43.31	-1.75	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0377901	Reptiles
Tissue	Animal	< 1 minute	< 1 day	ACX28	NA	8.1	2.8	SD02525	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Sub-adult	Female	40.84	-8.16	recAf61NgigHFbcBU	Squamata	Reptilia	SD0252501	Reptiles
Tissue	Animal	< 1 minute	< 14 days	ABS03	NA	64.1	360	SD01490	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Broadleaf forest 	Adult	Female	42.88	143.17	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0149001	Mammals
Faecal	Trap	< 3 hours	< 1 day	AAU83	RS	61	465	SD00364	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	44.95	7.6	recrACkHppgdXdQse	Rodentia	Mammalia	SD0036401	Mammals
Tissue	Animal	< 1 minute	< 14 days	AHA65	NA	57	3.66	SD04253	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet (peninsula)	Adult	Female	35.27	23.52	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0425301	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADD88	NA	NA	360	SD01880	Sciuridae	Sciurus vulgaris	1000248 - Dense settlement	34h extent park with an agricultural-forest landscape surrounded by dense urban area	Adult	Female	41.1	-8.56	recAf61NgigHFbcBU	Rodentia	Mammalia	SD0188001	Mammals
Faecal	Trap	NA	< 1 day	AAP43	NA	NA	1.5	SD03425	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.33	-1.77	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0342501	Amphibians
Tissue	Animal	< 1 minute	< 1 day	AKD18	NA	100	27.8	SD04437	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Stone walls along a rural trail flanked by agrarian land.	Adult	Male	41.32	-8.73	recAf61NgigHFbcBU	Urodela	Amphibia	SD0443701	Amphibians
Skin swab	Animal	< 1 minute	< 1 day	AIZ72	NA	105	32.3	SD04468	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Small stream with steep bank running through deciduous grove.	Adult	Male	41.18	-8.66	recAf61NgigHFbcBU	Urodela	Amphibia	SD0446801	Amphibians
Faecal	Animal	< 1 minute	< 14 days	AHA44	NA	63	5.24	SD04270	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet	Adult	Female	35.34	26.18	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0427001	Reptiles
Oral swab	Animal	< 1 minute	< 1 day	AGY93	NA	NA	30.4	SD03218	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.66	19.15	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0321801	Birds
Faecal	Trap	< 3 hours	< 1 day	ADW26	ILO	NA	555	SD01762	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.02	7.67	recrACkHppgdXdQse	Rodentia	Mammalia	SD0176201	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAB73	Rapadura	62	158.2	SD00196	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.4	-13.49	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0019602	Birds
Tissue	Animal	< 1 minute	< 21 days	AFO02	NA	49.3	7.9	SD02024	Hipposideridae	Hipposideros ruber	1001803 - Tropical forest	River, forest	Juvenile	Female	1.11	11.15	reclcQpXVk25OgN5p	Chiroptera	Mammalia	SD0202401	Bats
Faecal	Animal	< 1 minute	< 3 days	AFT30	NA	55.4	25.7	SD03860	Vespertilionidae	Myotis blythii	1000245 - Cropland	At the cave entrance	Adult	Male	43.59	25.96	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0386001	Bats
Oral swab	Animal	< 1 minute	< 28 days	AFV52	NA	NA	14.5	SD02054	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Juvenile	Male	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0205401	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD69	NA	56	13.3	SD01919	Alcedinidae	Chloroceryle aenea	1000252 - Lake or pond	Oxbow lake	Adult	Male	-12.43	-70.68	recBG9JQuOqHyhhMQ	Coraciiformes	Aves	SD0191901	Birds
Anal/cloacal swab	Animal	< 1 minute	< 3 days	ABN42	Aberdeen	55	560	SD01661	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	Riparian hardwood 	Adult	Male	57.17	-2.13	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0166105	Mammals
Oral swab	Animal	< 1 minute	< 1 day	ADJ24	Tourmalet	143.13	4.7	SD00844	Lacertidae	Podarcis muralis	1000194 - Montane grassland	in ski resort	Adult	Female	42.91	0.17	recD0072mQhXdzBoy	Squamata	Reptilia	SD0084401	Reptiles
Faecal	Animal	< 10 minutes	< 1 day	ABM39	NA	73	8.13	SD01051	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Stone walls between agricultural fields	Unknown	Female	38.7	1.42	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0105101	Reptiles
