"sample_id","sample_type","sample_freshness","sample_freezing","specimen_id","specimen_species","specimen_order","specimen_family","specimen_class","specimen_development","specimen_sex","specimen_length","specimen_weight","capture_id","capture_event_id","capture_place","capture_country","capture_biome","capture_environment","capture_latitude","capture_longitude"
"AAI11","Oral swab","< 1 minute","< 14 days","SD00001","Plecotus austriacus","Chiroptera","Vespertilionidae","Mammalia","Adult","Male",40.5,8.4,"SD0000101","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI10","Faecal","< 30 minutes","< 14 days","SD00001","Plecotus austriacus","Chiroptera","Vespertilionidae","Mammalia","Adult","Male",40.5,8.4,"SD0000101","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI12","Faecal","< 30 minutes","< 14 days","SD00002","Miniopterus schreibersii","Chiroptera","Miniopteridae","Mammalia","Adult","Female",46.9,13,"SD0000201","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI13","Oral swab","< 1 minute","< 14 days","SD00002","Miniopterus schreibersii","Chiroptera","Miniopteridae","Mammalia","Adult","Female",46.9,13,"SD0000201","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI17","Oral swab","< 1 minute","< 14 days","SD00003","Myotis blythii","Chiroptera","Vespertilionidae","Mammalia","Adult","Male",57.6,NA,"SD0000301","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI16","Faecal","< 30 minutes","< 14 days","SD00003","Myotis blythii","Chiroptera","Vespertilionidae","Mammalia","Adult","Male",57.6,NA,"SD0000301","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI14","Faecal","< 30 minutes","< 14 days","SD00004","Plecotus austriacus","Chiroptera","Vespertilionidae","Mammalia","Adult","Male",40.6,9,"SD0000401","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI15","Oral swab","< 1 minute","< 14 days","SD00004","Plecotus austriacus","Chiroptera","Vespertilionidae","Mammalia","Adult","Male",40.6,9,"SD0000401","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI09","Oral swab","< 1 minute","< 14 days","SD00005","Rhinolophus hipposideros","Chiroptera","Rhinolophidae","Mammalia","Juvenile","Male",37.5,4,"SD0000501","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI18","Faecal","< 30 minutes","< 14 days","SD00005","Rhinolophus hipposideros","Chiroptera","Rhinolophidae","Mammalia","Juvenile","Male",37.5,4,"SD0000501","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI08","Faecal","< 30 minutes","< 14 days","SD00006","Myotis daubentonii","Chiroptera","Vespertilionidae","Mammalia","Adult","Male",39,8,"SD0000601","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI07","Oral swab","< 1 minute","< 14 days","SD00006","Myotis daubentonii","Chiroptera","Vespertilionidae","Mammalia","Adult","Male",39,8,"SD0000601","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI06","Faecal","< 30 minutes","< 14 days","SD00007","Rhinolophus hipposideros","Chiroptera","Rhinolophidae","Mammalia","Adult","Male",37,5,"SD0000701","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI05","Oral swab","< 1 minute","< 14 days","SD00007","Rhinolophus hipposideros","Chiroptera","Rhinolophidae","Mammalia","Adult","Male",37,5,"SD0000701","MS0001","Cova de Rialb","Spain","1000221 - Temperate woodland","Cave",42.336,2.171
"AAI04","Oral swab","< 1 minute","< 14 days","SD00008","Rhinolophus ferrumequinum","Chiroptera","Rhinolophidae","Mammalia","Juvenile","Male",54.5,16.1,"SD0000801","MS0001","Bòfia de Sant Jaume","Spain","1000221 - Temperate woodland","Cave",42.067,1.684
"AAI03","Faecal","< 30 minutes","< 14 days","SD00008","Rhinolophus ferrumequinum","Chiroptera","Rhinolophidae","Mammalia","Juvenile","Male",54.5,16.1,"SD0000801","MS0001","Bòfia de Sant Jaume","Spain","1000221 - Temperate woodland","Cave",42.067,1.684
"AAI02","Faecal","< 30 minutes","< 14 days","SD00009","Rhinolophus hipposideros","Chiroptera","Rhinolophidae","Mammalia","Juvenile","Male",36.1,4.3,"SD0000901","MS0001","Bòfia de Sant Jaume","Spain","1000221 - Temperate woodland","Cave",42.067,1.684
"AAI01","Oral swab","< 1 minute","< 14 days","SD00009","Rhinolophus hipposideros","Chiroptera","Rhinolophidae","Mammalia","Juvenile","Male",36.1,4.3,"SD0000901","MS0001","Bòfia de Sant Jaume","Spain","1000221 - Temperate woodland","Cave",42.067,1.684
