sequence_id	sequence_data	sequence_q20	sequence_q30	sequence_gc	index_id
EHI02622	4.7889243	98.4	95.62	45.47	AGP08E1L1I1
EHI00604	5.5	96.35	91.49	42.26	OPAU45E2L1I1
EHI02643	7.2177375	98.29	95.41	49.08	AGO33E1L1I1
EHI00768	8.1250482	96.96	92.32	45.33	AFU76E1L1I1
EHI01287	3.0574407	96.78	91.67	37.39	AGC12E1L1I1
EHI00811	7.0670388	97.39	92.96	43.44	ACD99E1L1I1
EHI00715	5.4451149	96.69	91.77	43.51	AFM55E1L1I1
EHI02127	NA	NA	NA	NA	AGI41E2L1I1
EHI02348	4.7121906	97.46	93.37	45.45	AFI30E1L1I1
EHI02189	NA	NA	NA	NA	ABM39E1L1I1
EHI02287	NA	NA	NA	NA	ABQ90E1L1I1
EHI01174	5.0702445	96.76	92.46	44.93	AEA58E1L1I1
EHI00832	6.8935341	96.78	92.13	44.02	ACD85E1L1I1
EHI00565	4.3	97.46	93.31	47.61	AGH22E1L1I1
EHI01657	7.5032199	95.94	91.36	45.71	AIH81E1L1I1
EHI01319	4.489737	96.72	91.8	39.44	AGC50E1L1I1
EHI02201	NA	NA	NA	NA	AHB76E1L1I1
EHI00722	7.776744	96.69	91.66	43.12	AFM89E1L1I1
EHI01859	4.2593757	98.39	95.5	46.22	AFU95E1L2I1
EHI00148	3.3	94.62	87.78	42.97	AAS05E2L1I1
EHI00945	4.5230376	96.73	91.69	44.39	ABD45E1L1I1
EHI00118	4.4	95.37	88.65	42.61	ABL57E1L1I1
EHI02653	NA	NA	NA	NA	NA
EHI02389	2.1156468	97.2	93.09	45.19	AHE86E1L1I1
EHI01616	3.4839321	96.27	90.93	44.31	AGO80E1L1I1
EHI01404	7.5923637	96.9	91.94	33	AGY89E1L1I1
EHI01484	1.7998779	96.87	92.05	46.98	ACH20E1L1I1
EHI02562	5.4598857	96.66	91.83	48.71	AHO07E1L1I1
EHI02178	NA	NA	NA	NA	AHC85E1L1I1
EHI00328	15.9	96.47	90.89	41.38	ABW34E1L1I2
EHI00369	3.67	96.89	91.8	49.11	AFW26E1L1I1
EHI02365	5.3835483	97.25	92.88	45.28	ABD42E1L1I1
EHI01667	5.3665398	96.38	93.42	41.02	ACJ47E1L1I1
EHI00474	3.4	97.55	93.36	39.98	OPAU28E1L1I1
EHI00301	3.8	96.37	90.85	46.58	AFN23E1L1I1
EHI00520	7.8	97.09	92.62	44.39	ADM56E1L1I1
EHI00600	7.2	96.37	91.58	49.1	AGF90E1L1I1
EHI01415	3.4587072	96.96	91.9	39.88	AA17E1L1I1
EHI00962	2.7618759	97.54	93.25	49.54	ACD55E1L1I1
EHI00303	4.6	96.79	91.86	50.69	BATA07E1L1I2
EHI00840	8.9440113	96.68	92.13	48.31	ACE33E1L1I1
EHI02326	NA	NA	NA	NA	NA
EHI01785	3.9939495	97.02	92.4	45.67	AGI49E1L1I1
EHI01860	5.3139723	98.2	95.13	47.06	AFV05E1L2I1
EHI02578	4.9103751	98.54	95.92	43.78	AGO22E1L1I1
EHI00991	3.4131798	97.66	93.37	43.29	ACD33E1L1I1
EHI01035	6.7891035	96.98	91.96	40.41	ABO04E1L1I1
EHI01630	2.5738611	96.22	91.14	44.87	AAP70E1L1I1
EHI02369	5.727525	97.4	93.11	40.8	ADJ04E1L1I1
EHI02294	NA	NA	NA	NA	AHB98E1L1I1
EHI00804	5.902746	96.65	91.64	41.02	OPAU16E1L1I1
EHI01478	14.6338707	96.33	91.19	51.12	AAV76E1L1I1
EHI01801	9.4655061	95.76	90.36	43.19	AIJ37E1L1I1
EHI00792	7.599294	97	92.45	46.67	AAH01E1L1I1
EHI02181	NA	NA	NA	NA	AHC92E1L1I1
EHI01829	NA	NA	NA	NA	AFP13E1L1I1
EHI01436	2.1683202	96.07	91	51.87	AAP17E1L1I1
EHI00880	4.1944293	96.8	92.3	49.6	ABZ41E1L1I1
EHI02218	NA	NA	NA	NA	AHC10E1L1I1
EHI02361	2.6369394	97.57	93.53	43.94	ADJ72E1L1I1
EHI01146	4.3822716	97.13	92.99	45.86	AIG09E1L1I1
EHI01081	7.0087932	97.34	92.56	47.73	ACX55E1L1I1
EHI00634	11.8	96.3	91.69	45.52	OPAU46E1L1I1
EHI02253	NA	NA	NA	NA	AAB17E1L1I1
EHI01618	3.08301	96.28	91.19	42.25	AAP86E1L1I1
EHI00742	5.6973135	96.84	91.99	43.4	AEV83E1L1I1
EHI01241	9.3003975	97.52	93.56	44.6	AAW21E1L1I1
EHI00563	9.4	97.51	93.28	40.55	AA92E1L1I1
EHI01526	4.969779	96.51	91.58	47.25	AAA66E1L1I1
EHI00956	5.2452516	96.7	91.59	41.1	ABS27E1L1I1
EHI00513	5.7	96.9	92.27	42.5	AGH23E1L1I1
EHI01824	NA	NA	NA	NA	AIJ53E1L1I1
EHI02543	4.6293015	96.84	92.03	49.47	AHO90E1L1I1
EHI01634	17.3156364	96.34	91.53	44.89	AIG04E1L1I1
EHI02037	5.6326797	96.36	91.19	48.05	ABC33E1L1I1
EHI01200	4.4390292	96.73	91.62	42.14	AAE13E1L1I1
EHI00910	4.7792679	96.73	91.52	42.65	ABQ29E1L1I1
EHI00153	3.4	94.71	87.91	49.11	AAV39E1L1I1
EHI01289	5.8995789	96.79	91.86	43.13	AGC32E1L1I1
EHI00616	6.9	96.08	91.2	47.52	ABG57E2L3I1
EHI02524	2.5169538	97.15	92.82	45.03	AFI36E1L1I1
EHI00891	5.1232239	96.92	91.81	40.15	AA91E1L1I1
EHI00383	13.63	95.96	90.55	44.5	ADU72E1L1I1
EHI00003	4	94.81	87.84	44.17	ABI47E1L1I1
EHI01422	3.5743566	96.2	91.24	44.22	ADE05E1L1I1
EHI02559	5.4687108	97.04	92.53	48.83	AHN77E1L1I1
EHI01016	3.3761394	97.23	92.76	49.87	ACD01E1L1I1
EHI02634	5.9963679	98.4	95.64	41.78	AGP07E1L1I1
EHI02076	NA	NA	NA	NA	AHU97E1L1I1
EHI02244	NA	NA	NA	NA	AAN10E1L1I1
EHI00406	3.39	96.64	91.25	49.54	AEL64E1L1I1
EHI00063	3	94.51	87.53	44.9	AAB85E2L1I2
EHI00287	5.3	97.03	92.09	45.72	ABH56E1L2I1
