tax_id	superkingdom	phylum	class	order	family	species
1311	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus agalactiae
171	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	NA
1219015	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus fascians
1303689	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus koreensis
1219019	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus maanshanensis
1219021	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus opacus
1303690	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus pyridinivorans
1219028	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus wratislaviensis
1219030	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus zopfii
1219360	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia persicina
1220579	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter xylinus
1220581	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium rhizogenes
1368415	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium rubi
1223548	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia mikamii
50452	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis alpina
46170	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus aureus
1261129	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus thuringiensis
9606	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo sapiens
158836	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter hormaechei
29488	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus luminescens
29388	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus capitis
40559	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis cinerea
194	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	NA
1809	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium ulcerans
149539	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella enterica
447095	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces dermatitidis
553	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea ananatis
1280	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus aureus
9925	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Capra hircus
433727	NA	NA	NA	NA	NA	hot springs metagenome
129358	Eukaryota	Oomycota	NA	Peronosporales	Peronosporaceae	Phytophthora phaseoli
50392	Eukaryota	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius alexandrinus
85692	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Triticum dicoccoides
562	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli
4932	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces cerevisiae
1316929	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus subtilis
2730925	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseicella sp. DB1501
67258	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces cavourensis
777	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella burnetii
103796	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas syringae
33964	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc citreum
28901	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella enterica
3045175	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella sp. NM4
2998078	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter sp. VNH17
287	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas aeruginosa
112509	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Hordeum vulgare
120793	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	NA
7091	Eukaryota	Arthropoda	Insecta	Lepidoptera	Bombycidae	Bombyx mori
1305598	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus aureus
1416943	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus sicerae
47917	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia fonticola
1167533	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium anisopliae
570416	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus thuringiensis
1646	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Renibacterium salmoninarum
7041	Eukaryota	Arthropoda	Insecta	Coleoptera	NA	NA
1160895	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Candidatus Acidianus copahuensis
78398	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium odoriferum
180957	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium brasiliense
197	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter jejuni
1491	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium botulinum
552467	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus gattii VGIII
573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella pneumoniae
165813	Bacteria	Bacillota	Tissierellia	Tissierellales	Sporanaerobacteraceae	Sporanaerobacter acetigenes
3988	Eukaryota	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus communis
62337	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Miscanthus sinensis
578459	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula graminis
2104	Bacteria	Mycoplasmatota	NA	Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmoides pneumoniae
3483	Eukaryota	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Cannabis sativa
941322	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli
626357	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia graminis
666	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio cholerae
626359	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia graminis
626361	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia graminis
626362	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia graminis
638632	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella pastoris
487	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria meningitidis
645094	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia graminis
559305	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton rubrum
647933	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton tonsurans
660029	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium oxysporum
649639	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Evansella cellulosilytica
650164	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerochaete carnosa
492670	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus velezensis
334543	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter arcticus
655827	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium acridum
41899	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia plantarii
669	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio harveyi
1748	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium acidipropionici
1624	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus salivarius
1587	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus helveticus
1590	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus plantarum
1598	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus reuteri
1597	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus paracasei
1579	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus acidophilus
302911	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium animalis
1682	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium longum
1685	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium breve
28025	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium animalis
451109	Eukaryota	Oomycota	NA	Peronosporales	Peronosporaceae	Phytophthora andina
283007	Eukaryota	Oomycota	NA	Peronosporales	Peronosporaceae	Phytophthora ipomoeae
590	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
587	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia rettgeri
53335	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA
182785	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium tuberculosis
875882	Eukaryota	Arthropoda	Insecta	Lepidoptera	Geometridae	Odontopera bidentata
738	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Glaesserella parasuis
33882	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	NA
1282	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus epidermidis
4530	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Oryza sativa
595	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella enterica
94999	Eukaryota	Arthropoda	Insecta	Coleoptera	Lampyridae	Ellychnia corrusca
34008	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA
699041	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium hindlerae
1986203	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia endosymbiont of Melophagus ovinus
571297	Eukaryota	Arthropoda	Insecta	Lepidoptera	Gracillariidae	Phyllonorycter ringoniella
575	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella planticola
10090	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mus musculus
2949655	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia sp. B2-R-115
34356	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kodamaea ohmeri
472978	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Natronobacillus azotifigens
470	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter baumannii
570	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
3045176	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Ochrobactrum sp. SSR
371036	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Gottfriedia acidiceleris
3064829	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	Hyphomicrobiales bacterium UR115
336306	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter cloacae
10116	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Rattus norvegicus
543	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
1296536	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter hormaechei
1312234	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces prunicolor
1306990	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces hokutonensis
1314748	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus mali (ex Roth et al. 2021)
1314749	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Azohydromonas lata
1314750	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter vinelandii
1314751	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Sutcliffiella cohnii
1314752	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus drentensis
1314753	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus firmus
1314754	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus fumarioli
