"","mag_id","mag_name","assembly_id","assembly_batch","mag_domain","mag_phylum","mag_class","mag_order","mag_family","mag_genus","mag_species","mag_closest_ani","mag_closest_af","mag_taxonomy","mag_completeness","mag_contamination","mag_size","mag_gc","mag_n50","mag_contigs","host_species"
"1","EHM012122","EHA00440_bin.1.fa","EHA00440","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__UBA7173","s__UBA7173 sp900548705",96.8,0.76,"Species",89.16,2.39,2577391,"53.80%",10018,80,"Sciurus vulgaris"
"2","EHM012123","EHA00440_bin.10.fa","EHA00440","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__UBA7173","s__UBA7173 sp900552325",95.02,0.89,"Species",98.3,1.23,2797607,"55.10%",61802,297,"Sciurus vulgaris"
"3","EHM012124","EHA00440_bin.11.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__",78,0.25,"Genus",87.67,0,3112627,"49.60%",17348,74,"Sciurus vulgaris"
"4","EHM012125","EHA00440_bin.12.fa","EHA00440","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__",89.24,0.68,"Genus",82.12,0.49,3835167,"47.40%",87968,77,"Sciurus vulgaris"
"5","EHM012126","EHA00440_bin.14.fa","EHA00440","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Alloprevotella","s__",78.23,0.23,"Genus",76.07,0.12,2117076,"58.00%",38968,9,"Sciurus vulgaris"
"6","EHM012127","EHA00440_bin.15.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__UBA3282","s__",92.92,0.86,"Genus",54.38,0,1229400,"42.80%",265777,147,"Sciurus vulgaris"
"7","EHM012128","EHA00440_bin.16.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A","s__Phascolarctobacterium_A sp905212365",97.18,0.86,"Species",97.78,1,2012760,"50.70%",27492,752,"Sciurus vulgaris"
"8","EHM012129","EHA00440_bin.17.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__Roseburia sp017626625",95.01,0.64,"Species",60.16,4.42,2582824,"46.10%",3885,39,"Sciurus vulgaris"
"9","EHM012130","EHA00440_bin.18.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter","s__",79.03,0.31,"Genus",82.6,8.76,2645344,"46.20%",122777,383,"Sciurus vulgaris"
"10","EHM012131","EHA00440_bin.2.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__",79.83,0.57,"Genus",98.56,0.67,3181650,"43.00%",151346,35,"Sciurus vulgaris"
"11","EHM012132","EHA00440_bin.3.fa","EHA00440","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__",0,0,"Genus",55.17,1.72,2210848,"48.20%",32786,100,"Sciurus vulgaris"
"12","EHM012133","EHA00440_bin.4.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__UBA2942","s__",0,0,"Genus",59.06,0.69,2208570,"38.80%",4194,589,"Sciurus vulgaris"
"13","EHM012134","EHA00440_bin.5.fa","EHA00440","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__",0,0,"Genus",96.85,0.49,2991954,"53.10%",58878,93,"Sciurus vulgaris"
"14","EHM012135","EHA00440_bin.6.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus gallolyticus",97.91,0.91,"Species",69.29,1,1299972,"38.10%",3398,420,"Sciurus vulgaris"
"15","EHM012136","EHA00440_bin.7.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__UBA2942","s__",0,0,"Genus",64.26,0,1994255,"42.90%",35622,105,"Sciurus vulgaris"
"16","EHM012137","EHA00440_bin.8.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Choladocola","s__",0,0,"Genus",82.1,1.79,2720692,"46.00%",15071,229,"Sciurus vulgaris"
"17","EHM012138","EHA00440_bin.9.fa","EHA00440","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__",0,0,"Family",96.3,2.01,3815305,"36.40%",20944,273,"Sciurus vulgaris"
"18","EHM012139","EHA00441_bin.1.fa","EHA00441","ABB0111","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A","g__Sutterella","s__Sutterella sp900764215",98.35,0.84,"Species",98.13,1.86,2700911,"60.80%",14360,47,"Sciurus vulgaris"
"19","EHM012140","EHA00441_bin.10.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__",78.57,0.3,"Genus",98.85,3.38,4127959,"48.10%",158415,56,"Sciurus vulgaris"
"20","EHM012141","EHA00441_bin.11.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__",0,0,"Genus",99.31,3.16,3871730,"46.20%",107919,383,"Sciurus vulgaris"
"21","EHM012142","EHA00441_bin.12.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Faecousia","s__",81.77,0.44,"Genus",88.4,0.86,2412725,"55.50%",8672,472,"Sciurus vulgaris"
"22","EHM012143","EHA00441_bin.13.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__UBA1381","f__UBA1381","g__Ornithomonoglobus","s__",78.59,0.16,"Genus",94.74,0.67,3567220,"46.80%",11958,73,"Sciurus vulgaris"
"23","EHM012144","EHA00441_bin.14.fa","EHA00441","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-873","s__",79.92,0.46,"Genus",96.79,0.31,2620377,"58.10%",59165,290,"Sciurus vulgaris"
"24","EHM012145","EHA00441_bin.15.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Butyricicoccus_A","s__",0,0,"Genus",83.55,0.67,1678661,"47.90%",7077,564,"Sciurus vulgaris"
"25","EHM012146","EHA00441_bin.16.fa","EHA00441","ABB0111","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Ewingella","s__Ewingella americana",97.45,0.94,"Species",96.48,1.34,4690396,"54.00%",12428,28,"Sciurus vulgaris"
"26","EHM012147","EHA00441_bin.17.fa","EHA00441","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Paraprevotella","s__",81.42,0.44,"Genus",74.72,0.28,2580735,"46.20%",257301,61,"Sciurus vulgaris"
"27","EHM012148","EHA00441_bin.18.fa","EHA00441","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Alloprevotella","s__Alloprevotella sp905216095",97.37,0.9,"Species",97.55,0.79,2966932,"53.40%",172228,64,"Sciurus vulgaris"
"28","EHM012149","EHA00441_bin.19.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Christensenellales","f__Borkfalkiaceae","g__Coproplasma","s__",0,0,"Genus",96.37,0,2197507,"49.90%",52899,316,"Sciurus vulgaris"
"29","EHM012150","EHA00441_bin.2.fa","EHA00441","ABB0111","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter_C","s__Helicobacter_C marmotae",98.44,0.94,"Species",99.17,0.82,2022309,"39.30%",79976,193,"Sciurus vulgaris"
"30","EHM012151","EHA00441_bin.20.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eubacterium_F","s__",0,0,"Genus",77.55,0.56,2106299,"44.30%",15320,79,"Sciurus vulgaris"
"31","EHM012152","EHA00441_bin.21.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Choladocola","s__",0,0,"Genus",98.08,3.48,3648950,"45.10%",72289,550,"Sciurus vulgaris"
"32","EHM012153","EHA00441_bin.23.fa","EHA00441","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__",0,0,"Genus",69.11,1.54,1766984,"60.90%",3516,545,"Sciurus vulgaris"
"33","EHM012154","EHA00441_bin.24.fa","EHA00441","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-873","s__CAG-873 sp910578035",96.41,0.83,"Species",76.45,0.49,2258530,"52.30%",5245,74,"Sciurus vulgaris"
"34","EHM012155","EHA00441_bin.3.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Fimousia","s__",0,0,"Genus",89.26,4.7,2713648,"36.10%",98973,51,"Sciurus vulgaris"
"35","EHM012156","EHA00441_bin.4.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Coprobacillaceae","g__MGBC113645","s__",79.53,0.41,"Genus",61.75,1.75,2804909,"28.70%",5383,700,"Sciurus vulgaris"
"36","EHM012157","EHA00441_bin.5.fa","EHA00441","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Phocaeicola sp900551645",98.57,0.81,"Species",97.38,0.65,3478933,"44.10%",70419,95,"Sciurus vulgaris"
"37","EHM012158","EHA00441_bin.6.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Coprobacillaceae","g__MGBC163490","s__",0,0,"Genus",95.28,2.36,2819903,"29.10%",48597,87,"Sciurus vulgaris"
"38","EHM012159","EHA00441_bin.7.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eubacterium_G","s__",0,0,"Genus",97.65,2.01,2907976,"35.80%",34203,127,"Sciurus vulgaris"
