ID,AB_batch,Type (from AB Batch),Host,assembly_ena_accession,Autonumber1,PreprocessedSample,EHI_number,Assembly_code,Coassembly_name,PR_batch,EHI_number_api,sample_type,assembly_length,N50,L50,num_contigs,largest_contig,num_bins,assembly_mapping_percent,metagenomic_bases,assembly_url,mag_url,mapping_url,Status,Nonpareil completeness,locality,Order,successful_assembly
EHA00169,ABB0134,Coassembly,Plecotus auritus,,169,PR01198,EHI00201,EHA00169,EHA00169,PRB0040,EHI00201,Faecal,288841895,12842,3848,52209,734315,53,89.00,4057373645,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/EHA00169_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0134,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/PRB0040_EHI00201_EHA00169.bam,Done,0.9975,Berlin-Brandenburg,Chiroptera,1
EHA00170,ABB0134,Coassembly,Plecotus auritus,,170,PR01201,EHI00298,EHA00169,EHA00169,PRB0040,EHI00298,Faecal,288841895,12842,3848,52209,734315,53,65.00,6222686411,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/EHA00169_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0134,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/PRB0040_EHI00298_EHA00169.bam,Done,0.9116,Berlin-Brandenburg,Chiroptera,1
EHA00171,ABB0134,Coassembly,Plecotus auritus,,171,PR01271,EHI00608,EHA00169,EHA00169,PRB0044,EHI00608,Faecal,288841895,12842,3848,52209,734315,53,80.00,2656843309,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/EHA00169_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0134,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/PRB0044_EHI00608_EHA00169.bam,Done,0.9621,Berlin-Brandenburg,Chiroptera,1
EHA00172,ABB0134,Coassembly,Plecotus auritus,,172,PR01282,EHI00624,EHA00169,EHA00169,PRB0044,EHI00624,Faecal,288841895,12842,3848,52209,734315,53,33.00,2089484463,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/EHA00169_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0134,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/PRB0044_EHI00624_EHA00169.bam,Done,0.6942,Berlin-Brandenburg,Chiroptera,1
EHA00173,ABB0134,Coassembly,Plecotus auritus,,173,PR01283,EHI00625,EHA00169,EHA00169,PRB0044,EHI00625,Faecal,288841895,12842,3848,52209,734315,53,90.00,5726596862,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/EHA00169_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0134,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/PRB0044_EHI00625_EHA00169.bam,Done,0.9541,Berlin-Brandenburg,Chiroptera,1
EHA00174,ABB0134,Coassembly,Plecotus auritus,,174,PR01301,EHI00651,EHA00169,EHA00169,PRB0045,EHI00651,Faecal,288841895,12842,3848,52209,734315,53,53.00,1993833424,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/EHA00169_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0134,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/PRB0045_EHI00651_EHA00169.bam,Done,0.7287,Berlin-Brandenburg,Chiroptera,1
EHA00175,ABB0134,Coassembly,Plecotus auritus,,175,PR01657,EHI00878,EHA00169,EHA00169,PRB0077,EHI00878,Faecal,288841895,12842,3848,52209,734315,53,64.00,738211865,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/EHA00169_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0134,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0134/PRB0077_EHI00878_EHA00169.bam,Done,0.8679,Berlin-Brandenburg,Chiroptera,1
EHA00176,ABB0135,Coassembly,Plecotus auritus,,176,PR01204,EHI00345,EHA00176,EHA00176,PRB0040,EHI00345,Faecal,70343151,27594,447,7344,719645,15,94.00,5691202164,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0135/EHA00176_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0135,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0135/PRB0040_EHI00345_EHA00176.bam,Done,0.9379,Białowieza,Chiroptera,1
EHA00177,ABB0135,Coassembly,Plecotus auritus,,177,PR01305,EHI00655,EHA00176,EHA00176,PRB0045,EHI00655,Faecal,70343151,27594,447,7344,719645,15,83.00,4289894272,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0135/EHA00176_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0135,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0135/PRB0045_EHI00655_EHA00176.bam,Done,0.9765,Białowieza,Chiroptera,1
EHA00178,ABB0136,Individual,Plecotus auritus,,178,PR01199,EHI00283,EHA00178,,PRB0040,EHI00283,Faecal,0,0,0,0,0,0,0.00,10571474193,,,,Done,0.9971,"Catalonia, Fou de Bor",Chiroptera,0
