assembly_length	assembly_n50	assembly_l50	assembly_num_contigs	assembly_largest_contig	assembly_num_bins	assembly_input_id	assembly_type	sequence_id	assembly_id	assembly_input_bases	preprocessing_id
0	0	0	0	0	0	EHA02114	Individual	EHI01363	EHA02114	1987028875	PR02202
0	0	0	0	0	0	EHA02275	Individual	EHI01586	EHA02275	3039040956	PR02366
121589909	5464	4361	28527	222483	19	EHA00667	Individual	EHI00731	EHA00667	2697223372	PR01338
798083080	8410	17787	152915	539651	222	EHA03306	Coassembly	EHI01965	EHA03306	5168254603	PR02669
782461913	9930	15423	141756	640489	166	EHA01493	Coassembly	EHI00490	EHA01490	11429117668	PR00788
2216676708	4548	139926	566720	535592	83	EHA02646	Coassembly	EHI01658	EHA02637	4650932608	PR02244
0	0	0	0	0	0	EHA03933	Individual	EHI02402	EHA03933	2614434093	PR03033
0	0	0	0	0	0	EHA00747	Individual	EHI00821	EHA00747	1054574555	PR01432
246309098	15531	2863	36821	596489	52	EHA01284	Individual	EHI01078	EHA01284	6704384435	PR01652
1857363119	9343	40963	333138	758633	403	EHA03768	Coassembly	EHI02178	EHA03755	4467416765	PR02804
34735705	10821	467	5587	365975	5	EHA04249	Coassembly	EHI01785	EHA04247	2407064361	PR02610
166032983	6701	3589	36758	667191	31	EHA04063	Coassembly	EHI00792	EHA04063	6547388092	PR01462
60757730	3929	3266	17086	230770	16	EHA02343	Individual	EHI01611	EHA02343	3187394291	PR02285
83222301	21806	834	11127	319062	17	EHA03916	Individual	EHI02361	EHA03916	2498983772	PR03084
909893271	2311	124546	373793	359959	54	EHA02614	Coassembly	EHI01185	EHA02611	1132903190	PR01988
0	0	0	0	0	0	EHA03938	Individual	EHI02489	EHA03938	3183553212	PR03134
199033569	9194	3714	37119	648800	33	EHA03990	Individual	EHI01850	EHA03990	4522828426	PR03009
0	0	0	0	0	0	EHA00752	Individual	EHI00829	EHA00752	2125780156	PR01437
0	0	0	0	0	0	EHA03663	Coassembly	EHI00692	EHA03651	4873372294	PR01328
50545809	29968	314	5672	511855	12	EHA00760	Individual	EHI00801	EHA00760	5130247149	PR01446
1464456436	13746	20760	222042	565711	431	EHA02488	Coassembly	EHI01464	EHA02488	9766932496	PR02379
807439689	11798	13859	127680	616705	236	EHA01978	Coassembly	EHI01319	EHA01958	3333332529	PR02125
1857363119	9343	40963	333138	758633	403	EHA03777	Coassembly	EHI02181	EHA03755	3570083491	PR02807
133376792	7735	2869	26903	356644	27	EHA02440	Individual	EHI01557	EHA02440	4654266459	PR02415
509811604	7430	14602	103546	456686	91	EHA01551	Coassembly	EHI00074	EHA01550	7543261506	PR00687
887427194	8930	18692	166186	520188	186	EHA04343	Coassembly	EHI02571	EHA04343	3756003743	PR03323
2125007329	4467	139379	551883	800860	64	EHA03158	Coassembly	EHI01794	EHA03138	0	PR02622
302445189	3558	19829	90410	244455	43	EHA04529	Coassembly	EHI02542	EHA04529	4518182817	PR03194
494441136	4007	35174	137145	1322902	11	EHA00182	Coassembly	EHI00646	EHA00179	5486689466	PR01299
456368184	5996	14700	105655	398480	38	EHA02001	Coassembly	EHI01278	EHA01987	3869801782	PR02163
87053276	6784	2317	18723	318912	19	EHA02740	Individual	EHI01573	EHA02740	2539266442	PR02473
420214266	4604	16607	108789	701171	76	EHA02321	Coassembly	EHI01560	EHA02310	5325727637	PR02357
43691493	3035	2457	13994	699638	8	EHA02829	Coassembly	EHI00255	EHA02829	6963331834	PR01165
75918824	6433	1841	17075	432056	20	EHA03247	Individual	EHI02054	EHA03247	6962996160	PR02704
465344304	8422	11925	90990	366756	85	EHA01537	Coassembly	EHI00115	EHA01533	5616775080	PR00718
150428841	14978	1690	23692	726194	30	EHA01297	Individual	EHI01057	EHA01297	5445757571	PR01679
1739592354	12630	26738	272652	701363	520	EHA02565	Coassembly	EHI00142	EHA02565	3769807332	PR00816
107595360	11073	1915	18101	430084	8	EHA03506	Coassembly	EHI02099	EHA03506	4791052989	PR02869
1524177280	6686	43825	325860	660807	368	EHA03624	Coassembly	EHI02309	EHA03613	1870726179	PR02933
