Code,PR_Batch,EHI_number,IN Code (from EHI_number),ENA accession,Raw data (GB),species,Reference genome,Reference genome species,Reference genome closeness,Number of previous preprocessings,alias_bam,alias_fastq,Autonumber1,Autonumber2,AB (Assembly+Binning),reads_pre_fastp,reads_post_fastp,bases_pre_fastp,bases_post_fastp,adapter_trimmed_reads,adapter_trimmed_bases,host_reads,metagenomic_bases,host_bases,reads_lost_fastp_percent,bases_lost_fastp_percent,adapter_percent,host_percent,singlem_fraction,Indexed library molarity,Adaptor/library ratio,Index (from Sequence alias),IN Code (from Sequence alias),Volume (ul) (from Sequence alias),ENA_run_accession,ENA_sample_accession,ENA_experiment_accession,ENA_project_accession,analysis_code,project,analysis_center,analysis_date,file_name_bam,file_name_fastq1,file_name_fastq2,analysis_protocol,latitude,longitude,geocache,geographic location,Initial DNA for library (from IN Code) (from EHI_number),region,sample_type,bacterial_archaeal_bases,AB (Assembly+Binning) 2,Number of assemblies,Number of MAGs,kappa,C,LR,modelR,LRstar,diversity,Submit_PR,nonpareil_estimated_coverage,number_bins,assembly_batches,status,host_bam_url,sex,order,country
PR00678,PRB0001,EHI00001,ABK09E1L1I1,ERR9762899,3.20,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00001G1,EHI00001M1,678,00678,,18702252,18110376,2805337800,2646211769,2252102,72189794,16647206,0,2646211769,3%,6%,3%,100%,0%,18.18,0.00,1,ABK09E1L1I1,1.40,ERR9762899,SAMEA14374198,ERX9310746,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00001_G.bam,EHI00001_M_1.fq.gz,EHI00001_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.737,-0.590,,"42.7373,-0.589984",211.1,Aragón,Tissue,0.0,,0,0,0.0000,0.0000,0,0.0000,0,0.0000,,#ERROR!,0,0,No metagenomic data,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00001_G.bam,Female,Squamata,Spain
PR00679,PRB0001,EHI00002,ABI46E1L1I1,ERR9762900,3.60,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00002G1,EHI00002M1,679,00679,,10466930,10170866,1570039500,1429792367,2620495,100430744,248692,1394358496,35433871,3%,9%,6%,2%,42%,31.14,0.00,2,ABI46E1L1I1,1.30,ERR9762900,SAMEA14374163,ERX9310747,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00002_G.bam,EHI00002_M_1.fq.gz,EHI00002_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.789,-0.597,,"42.7889,-0.597015",399.0,Aragón,Faecal,586596584.0,EHA00265,1,9,0.6616,0.6855,697161155,0.9991,10364424258,19.1886,,6.726%,9,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00002_G.bam,Female,Squamata,Spain
PR00680,PRB0001,EHI00003,ABI47E1L1I1,ERR9762901,4.00,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00003G1,EHI00003M1,680,00680,,23853572,23112074,3578035800,3340532048,3738709,131565555,21258102,0,3340532048,3%,7%,4%,100%,0%,27.35,0.00,3,ABI47E1L1I1,1.00,ERR9762901,SAMEA14374164,ERX9310748,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00003_G.bam,EHI00003_M_1.fq.gz,EHI00003_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.789,-0.597,,"42.7889,-0.597015",248.9,Aragón,Tissue,0.0,,0,0,0.0000,0.0000,0,0.0000,0,0.0000,,#ERROR!,0,0,No metagenomic data,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00003_G.bam,Female,Squamata,Spain
PR00681,PRB0001,EHI00004,ABK09E2L1I1,ERR9762902,5.40,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00004G1,EHI00004M1,681,00681,,21409426,20604016,3211413900,2984989629,3187529,109956239,19008098,0,2984989629,4%,7%,3%,100%,0%,10.94,0.00,4,ABK09E2L1I1,1.20,ERR9762902,SAMEA14374198,ERX9310749,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00004_G.bam,EHI00004_M_1.fq.gz,EHI00004_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.737,-0.590,,"42.7373,-0.589984",211.1,Aragón,Tissue,0.0,,0,0,0.0000,0.0000,0,0.0000,0,0.0000,,#ERROR!,0,0,No metagenomic data,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00004_G.bam,Female,Squamata,Spain
PR00682,PRB0001,EHI00005,ABK57E1L1I1,ERR9762903,6.70,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00005G1,EHI00005M1,682,00682,,18085674,17495340,2712851100,2521862915,2996207,108481218,231998,2486913034,34949881,3%,7%,4%,1%,58%,10.09,0.00,6,ABK57E1L1I1,1.30,ERR9762903,SAMEA14374152,ERX9310750,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00005_G.bam,EHI00005_M_1.fq.gz,EHI00005_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.712,-0.607,,"42.71173,-0.606746",386.4,Aragón,Faecal,1436491868.0,EHA00266,1,14,0.7442,0.7634,1243446200,0.9996,8705306992,19.3181,,14.284%,14,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00005_G.bam,Female,Squamata,Spain
PR00683,PRB0001,EHI00069,ABJ89E1L1I1,ERR9762927,6.50,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00069G1,EHI00069M1,683,00683,,54815378,50833530,8222306700,7078154570,14997270,698060334,6240810,6157621999,920532571,7%,14%,8%,13%,52%,42.80,0.00,117,ABJ89E1L1I1,1.20,ERR9762927,SAMEA14374139,ERX9310774,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00069_G.bam,EHI00069_M_1.fq.gz,EHI00069_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.627,0.764,,"42.62721,0.763644",130.6,Catalunya,Faecal,3221200903.0,EHA00267,1,22,0.9019,0.9099,3078732045,0.9996,7924289428,18.3744,,38.852%,22,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00069_G.bam,Male,Squamata,Spain
PR00684,PRB0001,EHI00070,ABL39E1L1I1,ERR9762928,2.60,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00070G1,EHI00070M1,684,00684,,24281468,23656378,3642220200,3407328319,4200389,147983781,6290518,2469728439,937599880,3%,6%,4%,28%,53%,44.91,0.00,118,ABL39E1L1I1,1.20,ERR9762928,SAMEA14374123,ERX9310775,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00070_G.bam,EHI00070_M_1.fq.gz,EHI00070_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.637,0.755,,"42.6368,0.755111",138.0,Catalunya,Faecal,1313578725.0,EHA00268,1,15,0.7748,0.7920,1234852652,0.9997,7967410738,19.1146,,15.499%,15,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00070_G.bam,Male,Squamata,Spain
PR00685,PRB0001,EHI00072,ABK12E1L1I1,ERR9762930,4.90,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00072G1,EHI00072M1,685,00685,,36292666,35265772,5443899900,5072190947,6533805,228938109,527460,4993871498,78319449,3%,7%,4%,2%,61%,37.43,0.00,120,ABK12E1L1I1,1.00,ERR9762930,SAMEA14374143,ERX9310777,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00072_G.bam,EHI00072_M_1.fq.gz,EHI00072_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.737,-0.590,,"42.7373,-0.589984",72.0,Aragón,Faecal,3045059797.0,EHA00269,1,27,0.8485,0.8605,2496905813,0.9999,10208632408,18.9571,,24.459%,27,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00072_G.bam,Male,Squamata,Spain
PR00686,PRB0001,EHI00073,ABL01E1L1I1,ERR9762931,5.20,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00073G1,EHI00073M1,686,00686,,17659664,17296132,2648949600,2498473362,2826584,101578161,50116,2491173198,7300164,2%,6%,4%,0%,58%,10.43,0.00,121,ABL01E1L1I1,1.20,ERR9762931,SAMEA14374113,ERX9310778,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00073_G.bam,EHI00073_M_1.fq.gz,EHI00073_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.598,0.763,,"42.5981,0.763111",160.3,Aragón,Faecal,1434907637.0,EHA00270,1,7,0.7594,0.7776,1245574444,0.9993,8629061140,19.2226,,14.435%,7,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00073_G.bam,Male,Squamata,Spain
PR00687,PRB0001,EHI00074,ABL51E1L1I1,ERR9762932,4.30,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00074G1,EHI00074M1,687,00687,,54319736,52990138,8147960400,7577932855,10738062,396878136,242334,7543261506,34671349,2%,7%,5%,0%,56%,67.14,0.00,122,ABL51E1L1I1,1.00,ERR9762932,SAMEA14374125,ERX9310779,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00074_G.bam,EHI00074_M_1.fq.gz,EHI00074_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.637,0.755,,"42.6368,0.755111",39.8,Catalunya,Faecal,4255058357.0,EHA00271,1,28,0.8747,0.8848,3771602071,0.9997,14975313767,18.6383,,25.185%,28,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00074_G.bam,Male,Squamata,Spain
